"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Penicilline","Ampicillina",7533,"64.5","63.4","65.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Penicilline","Amoxicillina-Acido Clavulanico",15252,"38.8","38.0","39.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Cefalosporine III generazione","Cefotaxime",14850,"28.5","27.8","29.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Cefalosporine III generazione","Ceftazidime",16042,"21.9","21.3","22.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Carbapenemi","Imipenem",11379,"0.3","0.2","0.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Carbapenemi","Meropenem",15382,"0.3","0.2","0.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Carbapenemi","Ertapenem",12671,"0.6","0.5","0.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Aminoglicosidi","Amikacina",15813,"0.9","0.7","1.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Aminoglicosidi","Gentamicina",15901,"16.0","15.5","16.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2018.pdf","Fluorochinoloni","Ciprofloxacina",15997,"41.5","40.7","42.2"
