"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1016/j.ram.2017.02.001","Dominguez",2017,"ARG",-34.06,-61.34,"2013-01-01","2017-12-31","Chicken",NA,NA,"BD","E. coli",NA,109,NA,304,"CST","J01XB01",49,NA,"EUCAST 2016",NA,"Number of chickens/Sample types","Polymyxins","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"NAL","J01MB02",74,"30","CLSI 2009 M100-S16",NA,NA,"Quinolones","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"AMP","J01CA01",74,"10","CLSI 2009 M100-S16",NA,NA,"Aminopenicillins","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"CIP","J01MA02",100,"5","CLSI 2009 M100-S16",NA,NA,"Quinolones","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"CHL","J01BA01",100,"30","CLSI 2009 M100-S16",NA,NA,"Amphenicols","Highly important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"CST","J01XB01",100,"10","CLSI 2009 M100-S16",NA,NA,"Polymyxins","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"FOF","J01XX01",95,"50","CLSI 2009 M100-S16",NA,NA,"Phosphonic Acid","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"FRZ","QJ01XE90",0,"100","CLSI 2009 M100-S16",NA,NA,"Nitrofurans","Important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"GEN","J01GB03",100,"10","CLSI 2009 M100-S16",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"KAN","J01GB04",100,"30","CLSI 2009 M100-S16",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"NEO","J01GB05",100,"30","CLSI 2009 M100-S16",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"TET","J01AA07",68,"30","CLSI 2009 M100-S16",NA,NA,"Tetracyclines","Highly important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"SXT","J01EE01",100,"25","CLSI 2009 M100-S16",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"CTX","J01DD01",100,"30","CLSI 2009 M100-S16",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,277,7,19,"CRO","J01DD04",100,"30","CLSI 2009 M100-S16",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"NAL","J01MB02",100,"30","CLSI 2009 M100-S16",NA,NA,"Quinolones","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"AMP","J01CA01",100,"10","CLSI 2009 M100-S16",NA,NA,"Aminopenicillins","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"CIP","J01MA02",100,"5","CLSI 2009 M100-S16",NA,NA,"Quinolones","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"CHL","J01BA01",100,"30","CLSI 2009 M100-S16",NA,NA,"Amphenicols","Highly important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"CST","J01XB01",100,"10","CLSI 2009 M100-S16",NA,NA,"Polymyxins","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"FOF","J01XX01",100,"50","CLSI 2009 M100-S16",NA,NA,"Phosphonic Acid","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"FRZ","QJ01XE90",100,"100","CLSI 2009 M100-S16",NA,NA,"Nitrofurans","Important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"GEN","J01GB03",100,"10","CLSI 2009 M100-S16",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"KAN","J01GB04",100,"30","CLSI 2009 M100-S16",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"NEO","J01GB05",0,"30","CLSI 2009 M100-S16",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.foodcont.2012.05.056","Favier",2013,"ARG",-33.29318927,-66.32374424,"2005-01-01","2007-12-31","Chicken","Product",NA,"DD_PCR","Salmonella",NA,60,3,2,"TET","J01AA07",100,"30","CLSI 2009 M100-S16",NA,NA,"Tetracyclines","Highly important"
