"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"﻿10.1128/AEM.00872-15","Shousha",2015,"AUT",48.21,16.39,"2013-05-15","2013-12-15","Chicken",NA,"Meat","BD","E. coli",NA,50,94,47,"AMP","J01CA01",93.6,NA,"EUCAST 2010",NA,NA,"Aminopenicillins","Critically important"
"﻿10.1128/AEM.00872-15","Shousha",2015,"AUT",48.21,16.39,"2013-05-15","2013-12-15","Chicken",NA,"Meat","BD","E. coli",NA,50,94,47,"TET","J01AA07",85.1,NA,"EUCAST 2010",NA,NA,"Tetracyclines","Highly important"
"﻿10.1128/AEM.00872-15","Shousha",2015,"AUT",48.21,16.39,"2013-05-15","2013-12-15","Chicken",NA,"Meat","BD","E. coli",NA,50,94,47,"CHL","J01BA01",38.3,NA,"EUCAST 2010",NA,NA,"Amphenicols","Highly important"
"10.1017/S0950268803008380","Hein",2003,"AUT",46.99,15.76,"1998-10-15","1998-12-15","Chicken",NA,"KilledAnimal","DD","Campylobacter","jejuni",660,41.5,274,"CIP","J01MA02",50.7,"5 ug",NA,"LE 15 mm",NA,"Quinolones","Critically important"
"﻿10.3389/fmicb.2016.00072","Klein-Joebstl",2016,"AUT",47.83,15.55,"2009-01-01","2010-12-31","Cattle",NA,"Faecal","DD","Campylobacter","jejuni",382,14.4,55,"AMP","J01CA01",9.1,NA,"EUCAST",NA,NA,"Aminopenicillins","Critically important"
"﻿10.3389/fmicb.2016.00072","Klein-Joebstl",2016,"AUT",47.83,15.55,"2009-01-01","2010-12-31","Cattle",NA,"Faecal","DD","Campylobacter","jejuni",382,14.4,55,"CIP","J01MA02",49.1,NA,"EUCAST",NA,NA,"Quinolones","Critically important"
"﻿10.3389/fmicb.2016.00072","Klein-Joebstl",2016,"AUT",47.83,15.55,"2009-01-01","2010-12-31","Cattle",NA,"Faecal","DD","Campylobacter","jejuni",382,14.4,55,"ERY","J01FA01",0,NA,"EUCAST",NA,NA,"Macrolides","Critically important"
"﻿10.3389/fmicb.2016.00072","Klein-Joebstl",2016,"AUT",47.83,15.55,"2009-01-01","2010-12-31","Cattle",NA,"Faecal","DD","Campylobacter","jejuni",382,14.4,55,"GEN","J01GB03",0,NA,"EUCAST",NA,NA,"Aminoglycosides","Critically important"
"﻿10.3389/fmicb.2016.00072","Klein-Joebstl",2016,"AUT",47.83,15.55,"2009-01-01","2010-12-31","Cattle",NA,"Faecal","DD","Campylobacter","jejuni",382,14.4,55,"NAL","J01MB02",43.6,NA,"EUCAST",NA,NA,"Quinolones","Critically important"
"﻿10.3389/fmicb.2016.00072","Klein-Joebstl",2016,"AUT",47.83,15.55,"2009-01-01","2010-12-31","Cattle",NA,"Faecal","DD","Campylobacter","jejuni",382,14.4,55,"STR","J01GA01",5.5,NA,"EUCAST",NA,NA,"Aminoglycosides","Critically important"
"﻿10.3389/fmicb.2016.00072","Klein-Joebstl",2016,"AUT",47.83,15.55,"2009-01-01","2010-12-31","Cattle",NA,"Faecal","DD","Campylobacter","jejuni",382,14.4,55,"TET","J01AA07",3.6,NA,"EUCAST",NA,NA,"Tetracyclines","Highly important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"AMP","J01CA01",0,"10 ug","EUCAST",NA,"21 samples positive with 26 isolates","Aminopenicillins","Critically important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"FOX","J01DC01",7.7,"30 ug","EUCAST",NA,"21 samples positive with 26 isolates","Cephamycin","Highly important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"CTX","J01DD01",0,"5 ug","EUCAST",NA,"21 samples positive with 26 isolates","3rd Generation Cephalosporin","Critically important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"CAZ","J01DD02",46.2,"10 ug","EUCAST",NA,"21 samples positive with 26 isolates","3rd Generation Cephalosporin","Critically important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"FEP","J01DE01",26.9,"30 ug","EUCAST",NA,"21 samples positive with 26 isolates","2nd Generation Cephalosporin","Highly important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"GEN","J01GB03",0,"10 ug","EUCAST",NA,"21 samples positive with 26 isolates","Aminoglycosides","Critically important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"SXT","J01EE01",15.4,"1.25/23.75 ug","EUCAST",NA,"21 samples positive with 26 isolates","Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"CIP","J01MA02",0,"5 ug","EUCAST",NA,"21 samples positive with 26 isolates","Quinolones","Critically important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"IPM","J01DH51",0,"10 ug","EUCAST",NA,"21 samples positive with 26 isolates","Carbapenems","Critically important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"MEM","J01DH02",0,"10 ug","EUCAST",NA,"21 samples positive with 26 isolates","Carbapenems","Critically important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"TET","J01AA07",88.5,"30 ug","CLSI",NA,"21 samples positive with 26 isolates","Tetracyclines","Highly important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"NAL","J01MB02",78.3,"30 ug","CLSI",NA,"21 samples positive with 26 isolates","Quinolones","Critically important"
"﻿10.3390/ijerph111212582","Zarfel",2014,"AUT",47.07,15.45,"2012-01-15","2012-03-15","Chicken",NA,"Meat","DD","E. coli","ESBL",50,42,26,"CHL","J01BA01",46.2,"30 ug","CLSI",NA,"21 samples positive with 26 isolates","Amphenicols","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"AMP","J01CA01",100,"10μg","EUCAST",NA,NA,"Aminopenicillins","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"FOX","J01DC01",3.3,"30μg","EUCAST",NA,NA,"Cephamycin","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"CTX","J01DD01",100,"5μg","EUCAST",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"CAZ","J01DD02",53.3,"10μg","EUCAST",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"FEP","J01DE01",56.7,"30μg","EUCAST",NA,NA,"2nd Generation Cephalosporin","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"GEN","J01GB03",6.7,"10μg","EUCAST",NA,NA,"Aminoglycosides","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"TDZ","QJ01EW10",33.3,"1.25μg /23.75μg","EUCAST",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"CIP","J01MA02",0,"5μg","EUCAST",NA,NA,"Quinolones","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"IPM","J01DH51",0,"10μg","EUCAST",NA,NA,"Carbapenems","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"MEM","J01DH02",0,"10μg","EUCAST",NA,NA,"Carbapenems","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"TET","J01AA07",73.3,"30μg","CLSI",NA,NA,"Tetracyclines","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"NAL","J01MB02",26.7,"30μg","CLSI",NA,NA,"Quinolones","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Pig",NA,"Cloaca","DD","E. coli","ESBL",75,NA,30,"CHL","J01BA01",10,"30μg","CLSI",NA,NA,"Amphenicols","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"AMP","J01CA01",100,"10μg","EUCAST",NA,NA,"Aminopenicillins","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"FOX","J01DC01",0,"30μg","EUCAST",NA,NA,"Cephamycin","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"CTX","J01DD01",100,"5μg","EUCAST",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"CAZ","J01DD02",93.8,"10μg","EUCAST",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"FEP","J01DE01",0,"30μg","EUCAST",NA,NA,"2nd Generation Cephalosporin","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"GEN","J01GB03",0,"10μg","EUCAST",NA,NA,"Aminoglycosides","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"TDZ","QJ01EW10",62.5,"1.25μg /23.75μg","EUCAST",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"CIP","J01MA02",0,"5μg","EUCAST",NA,NA,"Quinolones","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"IPM","J01DH51",0,"10μg","EUCAST",NA,NA,"Carbapenems","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"MEM","J01DH02",0,"10μg","EUCAST",NA,NA,"Carbapenems","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"TET","J01AA07",93.8,"30μg","CLSI",NA,NA,"Tetracyclines","Highly important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"NAL","J01MB02",87.5,"30μg","CLSI",NA,NA,"Quinolones","Critically important"
"10.3390/antibiotics10040466","Galler",2021,"AUT",47.069507,15.436809,"1326-01-03","4110-01-03","Chicken",NA,"Cloaca","DD","E. coli","ESBL",100,NA,16,"CHL","J01BA01",93.8,"30μg","CLSI",NA,NA,"Amphenicols","Highly important"
