"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"﻿10.1016/j.vetmic.2014.02.045","Supre",2014,"BEL",51.1,4.21,"2012-09-15","2013-09-15","Cattle",NA,"Product","DD","E. coli",NA,27463,4.2,1165,"AMP","J01CA01",28.8,NA,"CLSI 2008",NA,"Bovine mastitis samples","Aminopenicillins","Critically important"
"﻿10.1016/j.vetmic.2014.02.045","Supre",2014,"BEL",51.1,4.21,"2012-09-15","2013-09-15","Cattle",NA,"Product","DD","E. coli",NA,27463,4.2,1165,"TET","J01AA07",14.7,NA,"CLSI 2008",NA,"Bovine mastitis samples","Tetracyclines","Highly important"
"﻿10.1016/j.vetmic.2014.02.045","Supre",2014,"BEL",51.1,4.21,"2012-09-15","2013-09-15","Cattle",NA,"Product","DD","E. coli",NA,27463,4.2,1165,"SXT","J01EE01",9.6,NA,"CLSI 2008",NA,"Bovine mastitis samples","Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"AMP","J01CA01",56.9,NA,"EURL-AR 2013",NA,NA,"Aminopenicillins","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"SMZ","J01EC01",49,NA,"EURL-AR 2013",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"TET","J01AA07",47.1,NA,"EURL-AR 2013",NA,NA,"Tetracyclines","Highly important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"TMP","J01EA01",23.5,NA,"EURL-AR 2013",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"CHL","J01BA01",13.7,NA,"EURL-AR 2013",NA,NA,"Amphenicols","Highly important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"GEN","J01GB03",2,NA,"EURL-AR 2013",NA,NA,"Aminoglycosides","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"AZM","J01FA10",0,NA,"EURL-AR 2013",NA,NA,"Macrolides","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"CTX","J01DD01",0,NA,"EURL-AR 2013",NA,NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"CAZ","J01DD02",0,NA,"EURL-AR 2013",NA,NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"CIP","J01MA02",0,NA,"EURL-AR 2013",NA,NA,"Quinolones","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"CST","J01XB01",0,NA,"EURL-AR 2013",NA,NA,"Polymyxins","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"MEM","J01DH02",0,NA,"EURL-AR 2013",NA,NA,"Carbapenems","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"NAL","J01MB02",0,NA,"EURL-AR 2013",NA,NA,"Quinolones","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","Salmonella",NA,89,57.3,51,"TIG","J01AA12",0,NA,"EURL-AR 2013",NA,NA,"Glycylcyclines","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"AMP","J01CA01",78.8,NA,"EURL-AR 2013",NA,NA,"Aminopenicillins","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"SMZ","J01EC01",90.4,NA,"EURL-AR 2013",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"TET","J01AA07",59.6,NA,"EURL-AR 2013",NA,NA,"Tetracyclines","Highly important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"TMP","J01EA01",73.1,NA,"EURL-AR 2013",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"CHL","J01BA01",42.3,NA,"EURL-AR 2013",NA,NA,"Amphenicols","Highly important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"GEN","J01GB03",5.8,NA,"EURL-AR 2013",NA,NA,"Aminoglycosides","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"AZM","J01FA10",7.7,NA,"EURL-AR 2013",NA,NA,"Macrolides","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"CTX","J01DD01",5.8,NA,"EURL-AR 2013",NA,NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"CAZ","J01DD02",1.9,NA,"EURL-AR 2013",NA,NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"CIP","J01MA02",100,NA,"EURL-AR 2013",NA,NA,"Quinolones","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"CST","J01XB01",0,NA,"EURL-AR 2013",NA,NA,"Polymyxins","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"MEM","J01DH02",0,NA,"EURL-AR 2013",NA,NA,"Carbapenems","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"NAL","J01MB02",92.3,NA,"EURL-AR 2013",NA,NA,"Quinolones","Critically important"
"﻿10.3390/antibiotics9010034","Rasschaert",2020,"BEL",51.09,4.36,"2017-02-16","2017-05-04","Pig",NA,"Faecal","BD","E. coli","CIP-R",89,58.4,52,"TIG","J01AA12",0,NA,"EURL-AR 2013",NA,NA,"Glycylcyclines","Critically important"
