"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"AMP","J01CA01",86,NA,"CLSI 2010 M100-S20",NA,NA,"Aminopenicillins","Critically important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"CRO","J01DD04",5,NA,"CLSI 2010 M100-S20",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"TET","J01AA07",86,NA,"CLSI 2010 M100-S20",NA,NA,"Tetracyclines","Highly important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"CHL","J01BA01",52,NA,"CLSI 2010 M100-S20",NA,NA,"Amphenicols","Highly important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"STR","J01GA01",81,NA,"CLSI 2010 M100-S20",NA,NA,"Aminoglycosides","Critically important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"KAN","J01GB04",33,NA,"CLSI 2010 M100-S20",NA,NA,"Aminoglycosides","Critically important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"GEN","J01GB03",29,NA,"CLSI 2010 M100-S20",NA,NA,"Aminoglycosides","Critically important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"AMK","J01GB06",0,NA,"CLSI 2010 M100-S20",NA,NA,"Aminoglycosides","Critically important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"SXT","J01EE01",86,NA,"CLSI 2010 M100-S20",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"NAL","J01MB02",81,NA,"CLSI 2010 M100-S20",NA,NA,"Quinolones","Critically important"
"10.1089/mdr.2011.0003","Riccobono",2012,"BOL",-21.27,-63.45,NA,NA,"Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,21,100,21,"CIP","J01MA02",43,NA,"CLSI 2010 M100-S20",NA,NA,"Quinolones","Critically important"
