"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"CFU","QJ01DD90",0,"30","CLSI 2002 Animals, M31-A2",NA,NA,"3rd Generation Cephalosporin","Critically important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"CIP","J01MA02",0,"5","CLSI 2002 Animals, M31-A2",NA,NA,"Quinolones","Critically important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"ENR","QJ01MA90",0,"5","CLSI 2002 Animals, M31-A2",NA,NA,"Quinolones","Critically important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"STR","J01GA01",0,"10","CLSI 2002 Animals, M31-A2",NA,NA,"Aminoglycosides","Critically important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"GEN","J01GB03",0,"10","CLSI 2002 Animals, M31-A2",NA,NA,"Aminoglycosides","Critically important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"SSS","J01E",0,"300","CLSI 2002 Animals, M31-A2",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"SXT","J01EE01",0,"25","CLSI 2002 Animals, M31-A2",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"NAL","J01MB02",100,"30","CLSI 2002 Animals, M31-A2",NA,NA,"Quinolones","Critically important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"AMP","J01CA01",0,"10","CLSI 2002 Animals, M31-A2",NA,NA,"Aminopenicillins","Critically important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"PMB","J01XB02",0,"300","CLSI 2002 Animals, M31-A2",NA,NA,"Polymyxins","Critically important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"TET","J01AA07",0,"30","CLSI 2002 Animals, M31-A2",NA,NA,"Tetracyclines","Highly important"
"http://www.redalyc.org/html/2890/289029240064/","Albuquerque",2014,"BRA",-3.789412727,-38.53611513,"2013-10-15","2014-02-15","Chicken","LivingAnimal",NA,"DD","Salmonella",NA,510,1,3,"AZM","J01FA10",100,"15","CLSI 2002 Animals, M31-A2",NA,NA,"Macrolides","Critically important"
"10.1016/j.foodcont.2007.03.010","Andre",2007,"BRA",-15.83,-49.84,"2004-03-15","2005-02-15","Cattle","Product",NA,"DD_PCR","S. aureus",NA,48,69,44,"ERY","J01FA01",5,"15","CLSI 2003 M2-A8",NA,NA,"Macrolides","Critically important"
"10.1016/j.foodcont.2007.03.010","Andre",2007,"BRA",-15.83,-49.84,"2004-03-15","2005-02-15","Cattle","Product",NA,"DD_PCR","S. aureus",NA,48,69,44,"CIP","J01MA02",0,"5","CLSI 2003 M2-A8",NA,NA,"Quinolones","Critically important"
"10.1016/j.foodcont.2007.03.010","Andre",2007,"BRA",-15.83,-49.84,"2004-03-15","2005-02-15","Cattle","Product",NA,"DD_PCR","S. aureus",NA,48,69,44,"TET","J01AA07",30,"30","CLSI 2003 M2-A8",NA,NA,"Tetracyclines","Highly important"
"10.1016/j.foodcont.2007.03.010","Andre",2007,"BRA",-15.83,-49.84,"2004-03-15","2005-02-15","Cattle","Product",NA,"DD_PCR","S. aureus",NA,48,69,44,"GEN","J01GB03",0,"10","CLSI 2003 M2-A8",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.foodcont.2007.03.010","Andre",2007,"BRA",-15.83,-49.84,"2004-03-15","2005-02-15","Cattle","Product",NA,"DD_PCR","S. aureus",NA,48,69,44,"VAN","J01XA01",0,"30","CLSI 2003 M2-A8",NA,NA,"Glycopeptides","Critically important"
"10.1016/j.foodcont.2007.03.010","Andre",2007,"BRA",-15.83,-49.84,"2004-03-15","2005-02-15","Cattle","Product",NA,"DD_PCR","S. aureus",NA,48,69,44,"OXA","J01CF04",2,"1","CLSI 2003 M2-A8",NA,NA,"Penicillins (Anti-Staphylococcal)","Highly important"
"10.1016/j.foodcont.2007.03.010","Andre",2007,"BRA",-15.83,-49.84,"2004-03-15","2005-02-15","Cattle","Product",NA,"DD_PCR","S. aureus",NA,48,69,44,"PEN","J01CE01",66,"10","CLSI 2003 M2-A8",NA,NA,"Penicillins (Narrow Spectrum)","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"PEN","J01CE01",0,"10","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Penicillins (Narrow Spectrum)","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"MEM","J01DH02",0,"10","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Carbapenems","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"CRO","J01DD04",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"CFL","J01DB03",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"1st Generation Cephalosporin","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"OXA","J01CF04",0,"1","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Penicillins (Anti-Staphylococcal)","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"LVX","J01MA12",0,"5","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Quinolones","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"ENR","QJ01MA90",0,"5","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Quinolones","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"CHL","J01BA01",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Amphenicols","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"CIP","J01MA02",0,"5","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Quinolones","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"GEN","J01GB03",0,"10","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Aminoglycosides","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"CLI","J01FF01",0,"2","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Lincosamides","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"ERY","J01FA01",0,"15","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Macrolides","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"LIZ","J01XX08",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Oxazolidinones","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"SXT","J01EE01",0,"25","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"TET","J01AA07",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Tetracyclines","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"DOX","J01AA02",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Tetracyclines","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Cattle","LivingAnimal",NA,"DD","S. aureus","MRSA",45,0,0,"VAN","J01XA01",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Glycopeptides","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Pig","LivingAnimal",NA,"DD","S. aureus","MRSA",23,0,0,"PEN","J01CE01",0,"10","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Penicillins (Narrow Spectrum)","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Pig","LivingAnimal",NA,"DD","S. aureus","MRSA",23,0,0,"MEM","J01DH02",0,"10","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Carbapenems","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Pig","LivingAnimal",NA,"DD","S. aureus","MRSA",23,0,0,"CRO","J01DD04",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Pig","LivingAnimal",NA,"DD","S. aureus","MRSA",23,0,0,"CFL","J01DB03",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"1st Generation Cephalosporin","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Pig","LivingAnimal",NA,"DD","S. aureus","MRSA",23,0,0,"OXA","J01CF04",0,"1","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Penicillins (Anti-Staphylococcal)","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Pig","LivingAnimal",NA,"DD","S. aureus","MRSA",23,0,0,"LVX","J01MA12",0,"5","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Quinolones","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Pig","LivingAnimal",NA,"DD","S. aureus","MRSA",23,0,0,"ENR","QJ01MA90",0,"5","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Quinolones","Critically important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Pig","LivingAnimal",NA,"DD","S. aureus","MRSA",23,0,0,"CHL","J01BA01",0,"30","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Amphenicols","Highly important"
"10.1111/j.1863-2378.2011.01413.x","Aquino",2011,"BRA",-21.25,-48.33,"2008-06-15","2009-03-15","Pig","LivingAnimal",NA,"DD","S. aureus","MRSA",23,0,0,"CIP","J01MA02",0,"5","CLSI 2005 M100-S15, CLSI 2008 M31-A3",NA,NA,"Quinolones","Critically important"
