"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"SXT","J01EE01",70,NA,"CLSI 2014 M100-S24",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"TET","J01AA07",54,NA,"CLSI 2014 M100-S24",NA,NA,"Tetracyclines","Highly important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"STR","J01GA01",49,NA,"CLSI 2014 M100-S24",NA,NA,"Aminoglycosides","Critically important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"AMP","J01CA01",47,NA,"CLSI 2014 M100-S24",NA,NA,"Aminopenicillins","Critically important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"CHL","J01BA01",30,NA,"CLSI 2014 M100-S24",NA,NA,"Amphenicols","Highly important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"AMC","J01CR02",17,NA,"CLSI 2014 M100-S24",NA,NA,"Aminopenicillins with Beta-Lactamase Inhibitors","Critically important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"CIP","J01MA02",9,NA,"CLSI 2014 M100-S24",NA,NA,"Quinolones","Critically important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"TOB","J01GB01",9,NA,"CLSI 2014 M100-S24",NA,NA,"Aminoglycosides","Critically important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"GEN","J01GB03",8,NA,"CLSI 2014 M100-S24",NA,NA,"Aminoglycosides","Critically important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"CFZ","J01DB04",7,NA,"CLSI 2014 M100-S24",NA,NA,"1st Generation Cephalosporin","Highly important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"SPT","J01XX04",6,NA,"CLSI 2014 M100-S24",NA,NA,"Aminocyclitols","Important"
"10.4315/0362-028X.JFP-16-407","Moe",2017,"MMR",16.86721015,96.16093015,"2014-11-01","2015-03-31","Chicken","Meat",NA,"DD","Salmonella",NA,141,98,138,"NOR","J01MA06",1,NA,"CLSI 2014 M100-S24",NA,NA,"Quinolones","Critically important"
