"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Chicken","LivingAnimal",NA,"BD","Campylobacter",NA,142,63,142,"CIP","J01MA02",37,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 4",NA,"Quinolones","Critically important"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Chicken","LivingAnimal",NA,"BD","Campylobacter",NA,142,63,142,"ERY","J01FA01",16,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 32",NA,"Macrolides","Critically important"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Chicken","LivingAnimal",NA,"BD","Campylobacter",NA,142,63,142,"GEN","J01GB03",0,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 16",NA,"Aminoglycosides","Critically important"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Chicken","LivingAnimal",NA,"BD","Campylobacter",NA,142,63,142,"TET","J01AA07",29,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 16",NA,"Tetracyclines","Highly important"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Chicken","LivingAnimal",NA,"BD","Campylobacter",NA,120,88,105,"CIP","J01MA02",71,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 4",NA,"Quinolones","Critically important"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Chicken","LivingAnimal",NA,"BD","Campylobacter",NA,120,88,105,"ERY","J01FA01",6,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 32",NA,"Macrolides","Critically important"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Chicken","LivingAnimal",NA,"BD","Campylobacter",NA,120,88,105,"GEN","J01GB03",0,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 16",NA,"Aminoglycosides","Critically important"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Chicken","LivingAnimal",NA,"BD","Campylobacter",NA,120,88,105,"TET","J01AA07",43,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 16",NA,"Tetracyclines","Highly important"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Pig","LivingAnimal",NA,"BD","Campylobacter",NA,180,47,85,"CIP","J01MA02",78,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 4",NA,"Quinolones","Critically important"
"10.1089/mdr.2015.0055","Lapierre",2016,"CHL",-33.44,-70.65,"2012-03-15","2013-05-15","Pig","LivingAnimal",NA,"BD","Campylobacter",NA,180,47,85,"ERY","J01FA01",29,NA,"CLSI 2010 M45-A2, EUCAST 2013",">= 32",NA,"Macrolides","Critically important"
