"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"STR","J01GA01",68,"10","CLSI 2001",NA,NA,"Aminoglycosides","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"NEO","J01GB05",61,"30","CLSI 2001",NA,NA,"Aminoglycosides","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"KAN","J01GB04",10,"30","CLSI 2001",NA,NA,"Aminoglycosides","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"GEN","J01GB03",1,"10","CLSI 2001",NA,NA,"Aminoglycosides","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"CHL","J01BA01",47,"30","CLSI 2001",NA,NA,"Amphenicols","Highly important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"ERY","J01FA01",100,"15","CLSI 2001",NA,"res% out of number of Salmonella (166).","Macrolides","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"PEN","J01CE01",93,"10","CLSI 2001",NA,NA,"Penicillins (Narrow Spectrum)","Highly important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"AMX","J01CA04",92,"30","CLSI 2001",NA,NA,"Aminopenicillins","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"AMP","J01CA01",75,"10","CLSI 2001",NA,NA,"Aminopenicillins","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"NAL","J01MB02",95,"30","CLSI 2001",NA,NA,"Quinolones","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"NOR","J01MA06",30,"10","CLSI 2001",NA,NA,"Quinolones","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"CIP","J01MA02",19,"5","CLSI 2001",NA,NA,"Quinolones","Critically important"
"10.1017/S0950268814001708","Abd-Elghany",2014,"EGY",31.04,31.38,"2012-06-15","2012-11-15","Chicken","Meat",NA,"DD_PCR","Salmonella",NA,200,34,166,"SMZ","J01EC01",83,"25","CLSI 2001",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
