"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1016/j.ijmm.2014.04.012","Campos",2014,"DEU",53.5437641,10.0099133,"2012-02-15","2012-04-15","Chicken",NA,"Meat","DD","E. coli","ESBL",120,60,87,"GEN","J01GB03",1,NA,"EUCAST",NA,"email sent requesting resistance data without the two isolates which were not Ecoli.","Aminoglycosides","Critically important"
"10.1016/j.ijmm.2014.04.012","Campos",2014,"DEU",53.5437641,10.0099133,"2012-02-15","2012-04-15","Chicken",NA,"Meat","DD","E. coli","ESBL",120,60,87,"SXT","J01EE01",40,NA,"EUCAST",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.1016/j.ijmm.2014.04.012","Campos",2014,"DEU",53.5437641,10.0099133,"2012-02-15","2012-04-15","Chicken",NA,"Meat","DD","E. coli","ESBL",120,60,87,"CIP","J01MA02",23,NA,"EUCAST",NA,NA,"Quinolones","Critically important"
"10.1016/j.ijmm.2014.04.012","Campos",2014,"DEU",53.5437641,10.0099133,"2012-02-15","2012-04-15","Chicken",NA,"Meat","DD","E. coli","ESBL",120,60,87,"TIG","J01AA12",0,NA,"EUCAST",NA,NA,"Glycylcyclines","Critically important"
"10.1016/j.ijmm.2014.04.012","Campos",2014,"DEU",53.5437641,10.0099133,"2012-02-15","2012-04-15","Chicken",NA,"Meat","DD","E. coli","ESBL",120,60,87,"IPM","J01DH51",0,NA,"EUCAST",NA,NA,"Carbapenems","Critically important"
"10.1016/j.ijmm.2014.04.012","Campos",2014,"DEU",53.5437641,10.0099133,"2012-02-15","2012-04-15","Chicken",NA,"Meat","DD","E. coli","ESBL",120,60,87,"MEM","J01DH02",0,NA,"EUCAST",NA,NA,"Carbapenems","Critically important"
"10.1016/j.prevetmed.2019.02.008","Burow",2019,"DEU",50.236036,9.492587,"2015-04-01","2016-10-30","Pig",NA,"Faecal","BD","E. coli",NA,1757,100,1757,"AMP","J01CA01",32,NA,"ECOFF",NA,NA,"Aminopenicillins","Critically important"
"10.1016/j.prevetmed.2019.02.008","Burow",2019,"DEU",50.236036,9.492587,"2015-04-01","2016-10-30","Pig",NA,"Faecal","BD","E. coli",NA,1757,100,1757,"TET","J01AA07",44,NA,"ECOFF",NA,NA,"Tetracyclines","Highly important"
"10.1016/j.prevetmed.2019.02.008","Burow",2019,"DEU",50.236036,9.492587,"2015-04-01","2016-10-30","Pig",NA,"Faecal","BD","E. coli",NA,1757,100,1757,"CST","J01XB01",1,NA,"ECOFF",NA,NA,"Polymyxins","Critically important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"AMP","J01CA01",94,NA,"ECOFF","4",NA,"Aminopenicillins","Critically important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"CHL","J01BA01",19,NA,"ECOFF","16",NA,"Amphenicols","Highly important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"CIP","J01MA02",6,NA,"ECOFF","0.064",NA,"Quinolones","Critically important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"CST","J01XB01",0,NA,"DANMAP","2",NA,"Polymyxins","Critically important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"CTX","J01DD01",6,NA,"ECOFF","0.5",NA,"3rd Generation Cephalosporin","Critically important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"GEN","J01GB03",0,NA,"ECOFF","2",NA,"Aminoglycosides","Critically important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"NAL","J01MB02",6,NA,"ECOFF","16",NA,"Quinolones","Critically important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"SMZ","J01EC01",75,NA,"CLSI 2009","256",NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"CAZ","J01DD02",0,NA,"ECOFF","2",NA,"3rd Generation Cephalosporin","Critically important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"TET","J01AA07",75,NA,"ECOFF","8",NA,"Tetracyclines","Highly important"
"10.4315/0362-028X.JFP-12-051","Dohne",2012,"DEU",52.8398531,9.075962,"2007-07-01","2008-06-30","Pig",NA,"LivingAnimal","BD","Salmonella",NA,540,3,16,"TMP","J01EA01",25,NA,"ECOFF","2",NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
