"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1016/j.apjtb.2016.05.001","Sudarwanto",2016,"IDN",-6.6,106.81,"2015-03-15","2015-04-15","Cattle","LivingAnimal",NA,"DD","E. coli",NA,220,9,19,"AMP","J01CA01",100,NA,"CLSI 2014 M100-S24",NA,NA,"Aminopenicillins","Critically important"
"10.1016/j.apjtb.2016.05.001","Sudarwanto",2016,"IDN",-6.6,106.81,"2015-03-15","2015-04-15","Cattle","LivingAnimal",NA,"DD","E. coli",NA,220,9,19,"CTX","J01DD01",100,NA,"CLSI 2014 M100-S24",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1016/j.apjtb.2016.05.001","Sudarwanto",2016,"IDN",-6.6,106.81,"2015-03-15","2015-04-15","Cattle","LivingAnimal",NA,"DD","E. coli",NA,220,9,19,"CPD","J01DD13",100,NA,"CLSI 2014 M100-S24",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1016/j.apjtb.2016.05.001","Sudarwanto",2016,"IDN",-6.6,106.81,"2015-03-15","2015-04-15","Cattle","LivingAnimal",NA,"DD","E. coli",NA,220,9,19,"CAZ","J01DD02",0,NA,"CLSI 2014 M100-S24",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1016/j.apjtb.2016.05.001","Sudarwanto",2016,"IDN",-6.6,106.81,"2015-03-15","2015-04-15","Cattle","LivingAnimal",NA,"DD","E. coli",NA,220,9,19,"STR","J01GA01",84,NA,"CLSI 2014 M100-S24",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.apjtb.2016.05.001","Sudarwanto",2016,"IDN",-6.6,106.81,"2015-03-15","2015-04-15","Cattle","LivingAnimal",NA,"DD","E. coli",NA,220,9,19,"KAN","J01GB04",26,NA,"CLSI 2014 M100-S24",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.apjtb.2016.05.001","Sudarwanto",2016,"IDN",-6.6,106.81,"2015-03-15","2015-04-15","Cattle","LivingAnimal",NA,"DD","E. coli",NA,220,9,19,"SXT","J01EE01",74,NA,"CLSI 2014 M100-S24",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.1016/j.apjtb.2016.05.001","Sudarwanto",2016,"IDN",-6.6,106.81,"2015-03-15","2015-04-15","Cattle","LivingAnimal",NA,"DD","E. coli",NA,220,9,19,"ERY","J01FA01",53,NA,"CLSI 2014 M100-S24",NA,NA,"Macrolides","Critically important"
"10.1016/j.apjtb.2016.05.001","Sudarwanto",2016,"IDN",-6.6,106.81,"2015-03-15","2015-04-15","Cattle","LivingAnimal",NA,"DD","E. coli",NA,220,9,19,"DOX","J01AA02",11,NA,"CLSI 2014 M100-S24",NA,NA,"Tetracyclines","Highly important"
"10.5829/idosi.gv.2015.15.05.94188","Mustika",2015,"IDN",-8.78,115.18,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,60,NA,5,"PEN","J01CE01",100,"6e-06","CLSI",NA,"Start/end dates and year of guideline were not given.","Penicillins (Narrow Spectrum)","Highly important"
"10.5829/idosi.gv.2015.15.05.94188","Mustika",2015,"IDN",-8.78,115.18,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,60,NA,5,"AMP","J01CA01",80,"1e-05","CLSI",NA,NA,"Aminopenicillins","Critically important"
"10.5829/idosi.gv.2015.15.05.94188","Mustika",2015,"IDN",-8.78,115.18,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,60,NA,5,"SPZ","J01ED08",20,"2.5e-05","CLSI",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.5829/idosi.gv.2015.15.05.94188","Mustika",2015,"IDN",-8.78,115.18,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,60,NA,5,"STR","J01GA01",20,"1e-05","CLSI",NA,NA,"Aminoglycosides","Critically important"
"10.7456/1070DSE/108","Effendi",2017,"IDN",-7.26,112.75,NA,NA,"Cattle","Product",NA,"DD","E. coli",NA,128,67,86,"AMP","J01CA01",95,"10","CLSI 2007 M100-S17",NA,NA,"Aminopenicillins","Critically important"
"10.7456/1070DSE/108","Effendi",2017,"IDN",-7.26,112.75,NA,NA,"Cattle","Product",NA,"DD","E. coli",NA,128,67,86,"CHL","J01BA01",40,"30","CLSI 2007 M100-S17",NA,NA,"Amphenicols","Highly important"
"10.7456/1070DSE/108","Effendi",2017,"IDN",-7.26,112.75,NA,NA,"Cattle","Product",NA,"DD","E. coli",NA,128,67,86,"GEN","J01GB03",0,"10","CLSI 2007 M100-S17",NA,NA,"Aminoglycosides","Critically important"
"10.7456/1070DSE/108","Effendi",2017,"IDN",-7.26,112.75,NA,NA,"Cattle","Product",NA,"DD","E. coli",NA,128,67,86,"CIP","J01MA02",0,"10","CLSI 2007 M100-S17",NA,NA,"Quinolones","Critically important"
"10.7456/1070DSE/108","Effendi",2017,"IDN",-7.26,112.75,NA,NA,"Cattle","Product",NA,"DD","E. coli",NA,128,67,86,"TMP","J01EA01",0,"5","CLSI 2007 M100-S17",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
