"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2010-11-01","2011-02-28","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",22,55,12,"AMP","J01CA01",0,"10","CLSI 2010",NA,NA,"Aminopenicillins","Critically important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2010-11-01","2011-02-28","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",22,55,12,"CTX","J01DD01",0,"30","CLSI 2010",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2010-11-01","2011-02-28","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",22,55,12,"CHL","J01BA01",0,"30","CLSI 2010",NA,NA,"Amphenicols","Highly important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2010-11-01","2011-02-28","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",22,55,12,"CIP","J01MA02",0,"5","CLSI 2010",NA,NA,"Quinolones","Critically important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2010-11-01","2011-02-28","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",22,55,12,"GEN","J01GB03",0,"10","CLSI 2010",NA,NA,"Aminoglycosides","Critically important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2010-11-01","2011-02-28","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",22,55,12,"NAL","J01MB02",0,"30","CLSI 2010",NA,NA,"Quinolones","Critically important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2010-11-01","2011-02-28","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",22,55,12,"SSS","J01E",0,"250","CLSI 2010",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2010-11-01","2011-02-28","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",22,55,12,"TET","J01AA07",0,"30","CLSI 2010",NA,NA,"Tetracyclines","Highly important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2010-11-01","2011-02-28","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",22,55,12,"SXT","J01EE01",0,"25","CLSI 2010",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2012-01-01","2013-12-30","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",201,6,13,"AMP","J01CA01",38,"10","CLSI 2010",NA,NA,"Aminopenicillins","Critically important"
"10.4315/0362-028X.JFP-16-331","ANDREOLI",2017,"ITA",45.19,9.16,"2012-01-01","2013-12-30","Pig",NA,"Meat","DD","Salmonella","Typhimurium and Monophasic Variant 4,[5],12:i-",201,6,13,"CTX","J01DD01",0,"30","CLSI 2010",NA,NA,"3rd Generation Cephalosporin","Critically important"
