"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"AMP","J01CA01",21,"10","CLSI 2002 M100-S12","13",NA,"Aminopenicillins","Critically important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"AMC","J01CR02",3,"30","CLSI 2002 M100-S12","13",NA,"Aminopenicillins with Beta-Lactamase Inhibitors","Critically important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"CHL","J01BA01",3,"30","CLSI 2002 M100-S12","12",NA,"Amphenicols","Highly important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"CIP","J01MA02",9,"5","CLSI 2002 M100-S12","15",NA,"Quinolones","Critically important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"ENR","QJ01MA90",29,"5","CLSI 2002 M100-S12","17",NA,"Quinolones","Critically important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"GEN","J01GB03",0,"10","CLSI 2002 M100-S12","12",NA,"Aminoglycosides","Critically important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"KAN","J01GB04",91,"30","CLSI 2002 M100-S12","13",NA,"Aminoglycosides","Critically important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"NAL","J01MB02",85,"30","CLSI 2002 M100-S12","13",NA,"Quinolones","Critically important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"NOR","J01MA06",21,"5","CLSI 2002 M100-S12","12",NA,"Quinolones","Critically important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"OFX","J01MA01",12,"5","CLSI 2002 M100-S12","12",NA,"Quinolones","Critically important"
"10.1186/1746-6148-2-7","Miles",2006,"JAM",18.04,-77.06,"2000-01-01","2001-12-31","Chicken","LivingAnimal",NA,"DD_PCR","E. coli",NA,109,NA,34,"TET","J01AA07",82,"30","CLSI 2002 M100-S12","14",NA,"Tetracyclines","Highly important"
