"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"STR","J01GA01",48,"10","CLSI 2014","<=11","Start and end date, % prevalence  not given","Aminoglycosides","Critically important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"TET","J01AA07",46,"30","CLSI 2014","<=11","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","Tetracyclines","Highly important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"AMP","J01CA01",35,"10","CLSI 2014","<=13","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","Aminopenicillins","Critically important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"CFL","J01DB03",26,"30","CLSI 2014","<=14","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","1st Generation Cephalosporin","Highly important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"AMC","J01CR02",19,"30","CLSI 2014","<=13","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","Aminopenicillins with Beta-Lactamase Inhibitors","Critically important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"SXT","J01EE01",16,"25","CLSI 2014","<=10","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"NAL","J01MB02",13,"30","CLSI 2014","<=13","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","Quinolones","Critically important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"CHL","J01BA01",9,"30","CLSI 2014","<=12","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","Amphenicols","Highly important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"KAN","J01GB04",9,"50","CLSI 2014","<=13","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","Aminoglycosides","Critically important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"GEN","J01GB03",4,"10","CLSI 2014","<=12","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","Aminoglycosides","Critically important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"CIP","J01MA02",4,"5","CLSI 2014","<=15","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","Quinolones","Critically important"
"10.3168/jds.2017-13665","Obaidat",2018,"JOR",32.55,35.84,NA,NA,"Cattle","LivingAnimal",NA,"DD","E. coli",NA,215,NA,520,"CRO","J01DD04",3,"30","CLSI 2014","<=19","Al-Dulail (Zarqa Governate), Highlands (West Jordan); difficult to determine midpoint and radius","3rd Generation Cephalosporin","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"AMX","J01CA04",0,NA,"EUCAST 2012/2016",NA,"Start and end date, % prevalence, concentration not given. Sensitivity Breakpoints is given","Aminopenicillins","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"AMP","J01CA01",0,NA,"EUCAST 2012/2016",NA,NA,"Aminopenicillins","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"FFC","QJ01BA90",0,NA,"EUCAST 2012/2016",NA,NA,"Amphenicols","Highly important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"CIP","J01MA02",100,NA,"EUCAST 2012/2016",NA,NA,"Quinolones","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"DOX","J01AA02",100,NA,"EUCAST 2012/2016",NA,NA,"Tetracyclines","Highly important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"ERY","J01FA01",67,NA,"EUCAST 2012/2016",NA,NA,"Macrolides","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"GEN","J01GB03",0,NA,"EUCAST 2012/2016",NA,NA,"Aminoglycosides","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"NAL","J01MB02",0,NA,"EUCAST 2012/2016",NA,NA,"Quinolones","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"TET","J01AA07",100,NA,"EUCAST 2012/2016",NA,NA,"Tetracyclines","Highly important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"BD","Campylobacter","jejuni",43,NA,92,"AMX","J01CA04",41,NA,"EUCAST 2012/2016",NA,NA,"Aminopenicillins","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"BD","Campylobacter","jejuni",43,NA,92,"AMP","J01CA01",100,NA,"EUCAST 2012/2016",NA,NA,"Aminopenicillins","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"BD","Campylobacter","jejuni",43,NA,92,"FFC","QJ01BA90",7,NA,"EUCAST 2012/2016",NA,NA,"Amphenicols","Highly important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"BD","Campylobacter","jejuni",43,NA,92,"CIP","J01MA02",100,NA,"EUCAST 2012/2016",NA,NA,"Quinolones","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"BD","Campylobacter","jejuni",43,NA,92,"DOX","J01AA02",95,NA,"EUCAST 2012/2016",NA,NA,"Tetracyclines","Highly important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"BD","Campylobacter","jejuni",43,NA,92,"ERY","J01FA01",15,NA,"EUCAST 2012/2016",NA,NA,"Macrolides","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"BD","Campylobacter","jejuni",43,NA,92,"GEN","J01GB03",41,NA,"EUCAST 2012/2016",NA,NA,"Aminoglycosides","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"BD","Campylobacter","jejuni",43,NA,92,"NAL","J01MB02",21,NA,"EUCAST 2012/2016",NA,NA,"Quinolones","Critically important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"BD","Campylobacter","jejuni",43,NA,92,"TET","J01AA07",100,NA,"EUCAST 2012/2016",NA,NA,"Tetracyclines","Highly important"
"10.1111/1750-3841.13363","Al-Natour",2016,"JOR",32.55,35.84,NA,NA,"Chicken","LivingAnimal",NA,"DD","Campylobacter","jejuni",43,NA,92,"AMX","J01CA04",53,NA,"SFM",NA,NA,"Aminopenicillins","Critically important"
