"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.3168/jds.S0022-0302(04)73557-2","Shitandi",2004,"KEN",-0.275326894,35.8812938,"2001-01-01","2002-12-31","Cattle","Product",NA,"DD","S. aureus",NA,109,30.6,402,"CHL","J01BA01",7,"10","CLSI 2002",NA,NA,"Amphenicols","Highly important"
"10.3168/jds.S0022-0302(04)73557-2","Shitandi",2004,"KEN",-0.275326894,35.8812938,"2001-01-01","2002-12-31","Cattle","Product",NA,"DD","S. aureus",NA,109,30.6,402,"ERY","J01FA01",14,"15","CLSI 2002",NA,NA,"Macrolides","Critically important"
"10.3168/jds.S0022-0302(04)73557-2","Shitandi",2004,"KEN",-0.275326894,35.8812938,"2001-01-01","2002-12-31","Cattle","Product",NA,"DD","S. aureus",NA,109,30.6,402,"PEN","J01CE01",24,"30","CLSI 2002",NA,NA,"Penicillins (Narrow Spectrum)","Highly important"
"10.3168/jds.S0022-0302(04)73557-2","Shitandi",2004,"KEN",-0.275326894,35.8812938,"2001-01-01","2002-12-31","Cattle","Product",NA,"DD","S. aureus",NA,109,30.6,402,"SXT","J01EE01",3,"25","CLSI 2002",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.3168/jds.S0022-0302(04)73557-2","Shitandi",2004,"KEN",-0.275326894,35.8812938,"2001-01-01","2002-12-31","Cattle","Product",NA,"DD","S. aureus",NA,109,30.6,402,"TET","J01AA07",9,"30","CLSI 2002",NA,NA,"Tetracyclines","Highly important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","LivingAnimal",NA,"BD_PCR","Salmonella",NA,58,9,3,"STR","J01GA01",33,NA,"CLSI 2004 Animals",NA,NA,"Aminoglycosides","Critically important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","LivingAnimal",NA,"BD_PCR","Salmonella",NA,58,9,3,"CHL","J01BA01",33,NA,"CLSI 2004 Animals",NA,NA,"Amphenicols","Highly important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","LivingAnimal",NA,"BD_PCR","Salmonella",NA,58,9,3,"AMP","J01CA01",67,NA,"CLSI 2004 Animals",NA,NA,"Aminopenicillins","Critically important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","LivingAnimal",NA,"BD_PCR","Salmonella",NA,58,9,3,"SXT","J01EE01",0,NA,"CLSI 2004 Animals",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","LivingAnimal",NA,"BD_PCR","Salmonella",NA,58,9,3,"TET","J01AA07",33,NA,"CLSI 2004 Animals",NA,NA,"Tetracyclines","Highly important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","KilledAnimal",NA,"BD_PCR","Salmonella",NA,58,19,11,"STR","J01GA01",9,NA,"CLSI 2004 Animals",NA,NA,"Aminoglycosides","Critically important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","KilledAnimal",NA,"BD_PCR","Salmonella",NA,58,19,11,"CHL","J01BA01",0,NA,"CLSI 2004 Animals",NA,NA,"Amphenicols","Highly important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","KilledAnimal",NA,"BD_PCR","Salmonella",NA,58,19,11,"AMP","J01CA01",0,NA,"CLSI 2004 Animals",NA,NA,"Aminopenicillins","Critically important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","KilledAnimal",NA,"BD_PCR","Salmonella",NA,58,19,11,"NAL","J01MB02",0,NA,"CLSI 2004 Animals",NA,NA,"Quinolones","Critically important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","KilledAnimal",NA,"BD_PCR","Salmonella",NA,58,19,11,"SXT","J01EE01",0,NA,"CLSI 2004 Animals",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.3855/jidc.446","Kikuvi",2010,"KEN",-1.171811806,36.83191593,NA,NA,"Pig","KilledAnimal",NA,"BD_PCR","Salmonella",NA,58,19,11,"TET","J01AA07",9,NA,"CLSI 2004 Animals",NA,NA,"Tetracyclines","Highly important"
