"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"NAL","J01MB02",100,NA,"CLSI 2003",NA,"number of samples, %prevalence, concentration and breakpints not specified.","Quinolones","Critically important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"AMP","J01CA01",98,NA,"CLSI 2003",NA,NA,"Aminopenicillins","Critically important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"TET","J01AA07",97,NA,"CLSI 2003",NA,NA,"Tetracyclines","Highly important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"GEN","J01GB03",4,NA,"CLSI 2003",NA,NA,"Aminoglycosides","Critically important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"TMP","J01EA01",4,NA,"CLSI 2003",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"FEP","J01DE01",3,NA,"CLSI 2003",NA,NA,"2nd Generation Cephalosporin","Highly important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"SMZ","J01EC01",3,NA,"CLSI 2003",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"CHL","J01BA01",2,NA,"CLSI 2003",NA,NA,"Amphenicols","Highly important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"SPT","J01XX04",2,NA,"CLSI 2003",NA,NA,"Aminocyclitols","Important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"FFC","QJ01BA90",2,NA,"CLSI 2003",NA,NA,"Amphenicols","Highly important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"AMC","J01CR02",1,NA,"CLSI 2003",NA,NA,"Aminopenicillins with Beta-Lactamase Inhibitors","Critically important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"APR","QA07AA92",1,NA,"CLSI 2003",NA,NA,"Aminoglycosides","Critically important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"CIP","J01MA02",1,NA,"CLSI 2003",NA,NA,"Quinolones","Critically important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"NEO","J01GB05",1,NA,"CLSI 2003",NA,NA,"Aminoglycosides","Critically important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"STR","J01GA01",1,NA,"CLSI 2003",NA,NA,"Aminoglycosides","Critically important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"CST","J01XB01",0,NA,"CLSI 2003",NA,NA,"Polymyxins","Critically important"
"10.1089=fpd.2007.0017","Al-Zenki",2007,"KWT",29.37,47.97,"2004-08-01","2005-07-01","Chicken","KilledAnimal",NA,"DD","Salmonella","enteritidis",109,NA,173,"CFU","QJ01DD90",0,NA,"CLSI 2003",NA,NA,"3rd Generation Cephalosporin","Critically important"
