"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"AMP","J01CA01",73,NA,"CLSI 2016",NA,"Concentration  not specified.","Aminopenicillins","Critically important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"SXT","J01EE01",64,NA,"CLSI 2016",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"CIP","J01MA02",40,NA,"CLSI 2016",NA,NA,"Quinolones","Critically important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"CFL","J01DB03",16,NA,"CLSI 2016",NA,NA,"1st Generation Cephalosporin","Highly important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"CST","J01XB01",16,NA,"CLSI 2016",NA,NA,"Polymyxins","Critically important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"CXM","J01DC02",5,NA,"CLSI 2016",NA,NA,"2nd Generation Cephalosporin","Highly important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"FOF","J01XX01",4,NA,"CLSI 2016",NA,NA,"Phosphonic Acid","Critically important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"CRO","J01DD04",3,NA,"CLSI 2016",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"CFP","J01DD12",2,NA,"CLSI 2016",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"NIT","J01XE01",0,NA,"CLSI 2016",NA,NA,"Nitrofurans","Important"
"10.4315/0362-028X.JFP-17-191","Eltai",2018,"QAT",25.37,51.48,"2016-09-01","2017-01-01","Chicken","LivingAnimal",NA,"Etest","E. coli",NA,172,52,90,"AMC","J01CR02",100,NA,"CLSI 2016",NA,NA,"Aminopenicillins with Beta-Lactamase Inhibitors","Critically important"
