"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","Salmonella","enteritidis",144,3.5,5,"AMP","J01CA01",0,NA,"CLSI 2006",NA,NA,"Aminopenicillins","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","Salmonella","enteritidis",144,3.5,5,"CTX","J01DD01",20,NA,"CLSI 2006",NA,NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","Salmonella","enteritidis",144,3.5,5,"CAZ","J01DD02",20,NA,"CLSI 2006",NA,NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","Salmonella","enteritidis",144,3.5,5,"SMZ","J01EC01",20,NA,"CLSI 2006",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","Salmonella","enteritidis",144,3.5,5,"SXT","J01EE01",20,NA,"CLSI 2006",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","Salmonella","enteritidis",144,3.5,5,"NAL","J01MB02",40,NA,"CLSI 2006",NA,NA,"Quinolones","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","Salmonella","enteritidis",144,3.5,5,"CIP","J01MA02",0,NA,"CLSI 2006",NA,NA,"Quinolones","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","Salmonella","enteritidis",144,3.5,5,"TET","J01AA07",40,NA,"CLSI 2006",NA,NA,"Tetracyclines","Highly important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","Salmonella","enteritidis",144,3.5,5,"CHL","J01BA01",0,NA,"CLSI 2006",NA,NA,"Amphenicols","Highly important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","E. coli",NA,144,12.5,18,"AMP","J01CA01",27.7,NA,"CLSI 2006",NA,NA,"Aminopenicillins","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","E. coli",NA,144,12.5,18,"CTX","J01DD01",0,NA,"CLSI 2006",NA,NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","E. coli",NA,144,12.5,18,"CAZ","J01DD02",0,NA,"CLSI 2006",NA,NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","E. coli",NA,144,12.5,18,"SMZ","J01EC01",22.2,NA,"CLSI 2006",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","E. coli",NA,144,12.5,18,"SXT","J01EE01",22.2,NA,"CLSI 2006",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","E. coli",NA,144,12.5,18,"NAL","J01MB02",44.4,NA,"CLSI 2006",NA,NA,"Quinolones","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","E. coli",NA,144,12.5,18,"CIP","J01MA02",33.3,NA,"CLSI 2006",NA,NA,"Quinolones","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","E. coli",NA,144,12.5,18,"TET","J01AA07",66.7,NA,"CLSI 2006",NA,NA,"Tetracyclines","Highly important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","AD","E. coli",NA,144,12.5,18,"CHL","J01BA01",22.2,NA,"CLSI 2006",NA,NA,"Amphenicols","Highly important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","Etest","Campylobacter","jejuni",144,15.3,22,"AMP","J01CA01",4.5,NA,"CLSI 2006",NA,NA,"Aminopenicillins","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","Etest","Campylobacter","jejuni",144,15.3,22,"STR","J01GA01",0,NA,"CLSI 2006",NA,NA,"Aminoglycosides","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","Etest","Campylobacter","jejuni",144,15.3,22,"NAL","J01MB02",9.1,NA,"CLSI 2006 breakpoint for Enterobacteriaceae",NA,NA,"Quinolones","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","Etest","Campylobacter","jejuni",144,15.3,22,"CIP","J01MA02",9.1,NA,"CLSI 2006",NA,NA,"Quinolones","Critically important"
"﻿10.3855/jidc.4958","Dan",2015,"ROU",46.44,24.56,"2012-01-01","2013-12-31","Chicken",NA,"KilledAnimal","Etest","Campylobacter","jejuni",144,15.3,22,"TET","J01AA07",31.8,NA,"CLSI 2006",NA,NA,"Tetracyclines","Highly important"
"﻿10.3389/fmicb.2019.02267","Maciuca",2019,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","MCR-1",92,12,17,"AMP","J01CA01",100,NA,"EUCAST 2018",NA,NA,"Aminopenicillins","Critically important"
"﻿10.3389/fmicb.2019.02267","Maciuca",2019,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","MCR-1",92,12,17,"FOX","J01DC01",94.1,NA,"EUCAST 2018",NA,NA,"Cephamycin","Highly important"
"﻿10.3389/fmicb.2019.02267","Maciuca",2019,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","MCR-1",92,12,17,"NAL","J01MB02",94.1,NA,"CLSI 2011",NA,NA,"Quinolones","Critically important"
"﻿10.3389/fmicb.2019.02267","Maciuca",2019,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","MCR-1",92,12,17,"CIP","J01MA02",94.1,NA,"EUCAST 2018",NA,NA,"Quinolones","Critically important"
"﻿10.3389/fmicb.2019.02267","Maciuca",2019,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","MCR-1",92,12,17,"GEN","J01GB03",47.1,NA,"EUCAST 2018",NA,NA,"Aminoglycosides","Critically important"
"﻿10.3389/fmicb.2019.02267","Maciuca",2019,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","MCR-1",92,12,17,"TET","J01AA07",31.3,NA,"CLSI 2011",NA,NA,"Tetracyclines","Highly important"
"﻿10.3389/fmicb.2019.02267","Maciuca",2019,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","MCR-1",92,12,17,"SXT","J01EE01",12.5,NA,"EUCAST 2018",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.3389/fmicb.2019.02267","Maciuca",2019,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","BD","E. coli","MCR-1",92,12,17,"CST","J01XB01",12.5,NA,"EUCAST 2016",NA,NA,"Polymyxins","Critically important"
"﻿10.1089/mdr.2014.0248","Maciuca",2015,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","Extended spectrum cephalosporin-R",127,70.9,90,"AMP","J01CA01",98.9,"25 ug","BSAC 2000",NA,"ISO-Sensitest agar used","Aminopenicillins","Critically important"
"﻿10.1089/mdr.2014.0248","Maciuca",2015,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","Extended spectrum cephalosporin-R",127,70.9,90,"FOX","J01DC01",86.6,"30 ug","BSAC 2000",NA,"ISO-Sensitest agar used","Cephamycin","Highly important"
"﻿10.1089/mdr.2014.0248","Maciuca",2015,"ROU",47.52,27.13,"2011-10-15","2012-10-15","Chicken",NA,"KilledAnimal","DD","E. coli","Extended spectrum cephalosporin-R",127,70.9,90,"CTX","J01DD01",87.7,"30 ug","BSAC 2000",NA,"ISO-Sensitest agar used","3rd Generation Cephalosporin","Critically important"
