"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"AMP","J01CA01",66,NA,"EUCAST 2020","64 mg/L","Took 5 (of 8) regions - Bratislava, Nitra, Trnava, Trencin and Zilina to calculate radius","Aminopenicillins","Critically important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"CTX","J01DD01",4.9,NA,"EUCAST 2020","0.25mg/L",NA,"3rd Generation Cephalosporin","Critically important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"CAZ","J01DD02",3,NA,"EUCAST 2020",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"FEP","J01DE01",0,NA,"EUCAST 2020",NA,NA,"2nd Generation Cephalosporin","Highly important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"MEM","J01DH02",0,NA,"EUCAST 2020",NA,NA,"Carbapenems","Critically important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"GEN","J01GB03",3,NA,"EUCAST 2020",NA,NA,"Aminoglycosides","Critically important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"CIP","J01MA02",61,NA,"EUCAST 2020","8mg/L",NA,"Quinolones","Critically important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"TET","J01AA07",49,NA,"EUCAST 2020","32mg/L",NA,"Tetracyclines","Highly important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"TIG","J01AA12",0,NA,"EUCAST 2020",NA,NA,"Glycylcyclines","Critically important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"CST","J01XB01",3,NA,"EUCAST 2020",NA,NA,"Polymyxins","Critically important"
"10.3390/antibiotics10111303","Kocúreková",2021,"SVK",48.53253349,18.08494429,NA,NA,"Chicken",NA,"Cloaca","Bel-MIDITECHautomateDDiagnosticsystem","E. coli",NA,NA,NA,115,"SUT","J01EE",34,NA,"EUCAST 2020","8mg/L",NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
