"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"AMP","J01CA01",0,NA,"EUCAST",NA,NA,"Aminopenicillins","Critically important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"CTX","J01DD01",0,NA,"EUCAST",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"CHL","J01BA01",0,NA,"EUCAST",NA,NA,"Amphenicols","Highly important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"CIP","J01MA02",0,NA,"EUCAST",NA,NA,"Quinolones","Critically important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"CST","J01XB01",0,NA,"EUCAST",NA,NA,"Polymyxins","Critically important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"GEN","J01GB03",0,NA,"EUCAST",NA,NA,"Aminoglycosides","Critically important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"MEM","J01DH02",0,NA,"EUCAST",NA,NA,"Carbapenems","Critically important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"NAL","J01MB02",8,NA,"EUCAST",NA,NA,"Quinolones","Critically important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"CAZ","J01DD02",8,NA,"EUCAST",NA,NA,"3rd Generation Cephalosporin","Critically important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"TET","J01AA07",0,NA,"EUCAST",NA,NA,"Tetracyclines","Highly important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"TIG","J01AA12",0,NA,"EUCAST",NA,NA,"Glycylcyclines","Critically important"
"10.1016/j.foodcont.2016.04.024","Kalupahana",2016,"LKA",7.29,80.63,NA,NA,"Chicken","Product",NA,"BD","Salmonella",NA,200,6,12,"TMP","J01EA01",0,NA,"EUCAST",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.18683/germs.2017.1118","Jayaweera",2017,"LKA",8.311,80.4,"2017-01-15","2017-03-15","Pig","LivingAnimal",NA,"DD","S. aureus",NA,62,58,38,"OXA","J01CF04",42,NA,"CLSI 2017 M100-S27",NA,NA,"Penicillins (Anti-Staphylococcal)","Highly important"
"10.18683/germs.2017.1118","Jayaweera",2017,"LKA",8.311,80.4,"2017-01-15","2017-03-15","Pig","LivingAnimal",NA,"DD","S. aureus",NA,62,58,38,"DOX","J01AA02",58,NA,"CLSI 2017 M100-S27",NA,NA,"Tetracyclines","Highly important"
