"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"AMP","J01CA01",56,NA,"CLSI 2017 and EUCAST 2018","8 ug/ml",NA,"Aminopenicillins","Critically important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"CTX","J01DD01",2,NA,"CLSI 2017 and EUCAST 2018","2 ug/ml",NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"CAZ","J01DD02",0,NA,"CLSI 2017 and EUCAST 2018","4 ug/ml",NA,"3rd Generation Cephalosporin","Critically important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"CHL","J01BA01",31,NA,"CLSI 2017 and EUCAST 2018","8 ug/ml",NA,"Amphenicols","Highly important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"CIP","J01MA02",6,NA,"CLSI 2017 and EUCAST 2018","1 ug/ml",NA,"Quinolones","Critically important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"CST","J01XB01",0,NA,"CLSI 2017 and EUCAST 2018","2 ug/ml",NA,"Polymyxins","Critically important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"GEN","J01GB03",27,NA,"CLSI 2017 and EUCAST 2018","4 ug/ml",NA,"Aminoglycosides","Critically important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"MEM","J01DH02",0,NA,"CLSI 2017 and EUCAST 2018","8 ug/ml",NA,"Carbapenems","Critically important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"TIG","J01AA12",0,NA,"CLSI 2017 and EUCAST 2018","2 ug/ml",NA,"Glycylcyclines","Critically important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"TMP","J01EA01",32,NA,"CLSI 2017 and EUCAST 2018","4 ug/ml",NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"NAL","J01MB02",11,NA,"CLSI 2017 and EUCAST 2018","16 ug/ml",NA,"Quinolones","Critically important"
"﻿10.17236/sat00233","Hausherr",2019,"CHE",46.95,7.45,"2017-03-15","2017-05-15","Cattle",NA,"LivingAnimal","BD","E. coli",NA,100,100,100,"TET","J01AA07",57,NA,"CLSI 2017 and EUCAST 2018","16 ug/ml",NA,"Tetracyclines","Highly important"
"﻿10.1024/0036-7281.151.3.119","Stannarius",2009,"CHE",46.88,8.93,"2004-10-15","2005-04-15","Pig",NA,"Faecal","DD","E. coli",NA,328,100,860,"AMX","J01CA04",8.1,NA,"CLSI 2002, 2004",NA,"Geom midpoint used; Faecal samples are pooled; prevalence is assumed at 100%","Aminopenicillins","Critically important"
"﻿10.1024/0036-7281.151.3.119","Stannarius",2009,"CHE",46.88,8.93,"2004-10-15","2005-04-15","Pig",NA,"Faecal","DD","E. coli",NA,328,100,860,"AMP","J01CA01",7.2,NA,"CLSI 2002, 2004",NA,"Geom midpoint used; Faecal samples are pooled; prevalence is assumed at 100%","Aminopenicillins","Critically important"
"﻿10.1024/0036-7281.151.3.119","Stannarius",2009,"CHE",46.88,8.93,"2004-10-15","2005-04-15","Pig",NA,"Faecal","DD","E. coli",NA,328,100,860,"CIP","J01MA02",1,NA,"CLSI 2002, 2004",NA,"Geom midpoint used; Faecal samples are pooled; prevalence is assumed at 100%","Quinolones","Critically important"
"﻿10.1024/0036-7281.151.3.119","Stannarius",2009,"CHE",46.88,8.93,"2004-10-15","2005-04-15","Pig",NA,"Faecal","DD","E. coli",NA,328,100,860,"CST","J01XB01",3.6,NA,"CLSI 2002, 2004",NA,"Geom midpoint used; Faecal samples are pooled; prevalence is assumed at 100%","Polymyxins","Critically important"
"﻿10.1024/0036-7281.151.3.119","Stannarius",2009,"CHE",46.88,8.93,"2004-10-15","2005-04-15","Pig",NA,"Faecal","DD","E. coli",NA,328,100,860,"GEN","J01GB03",1.4,NA,"CLSI 2002, 2004",NA,"Geom midpoint used; Faecal samples are pooled; prevalence is assumed at 100%","Aminoglycosides","Critically important"
"﻿10.1024/0036-7281.151.3.119","Stannarius",2009,"CHE",46.88,8.93,"2004-10-15","2005-04-15","Pig",NA,"Faecal","DD","E. coli",NA,328,100,860,"SSS","J01E",39.2,NA,"CLSI 2002, 2004",NA,"Geom midpoint used; Faecal samples are pooled; prevalence is assumed at 100%","Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.1024/0036-7281.151.3.119","Stannarius",2009,"CHE",46.88,8.93,"2004-10-15","2005-04-15","Pig",NA,"Faecal","DD","E. coli",NA,328,100,860,"TET","J01AA07",28.6,NA,"CLSI 2002, 2004",NA,"Geom midpoint used; Faecal samples are pooled; prevalence is assumed at 100%","Tetracyclines","Highly important"
"﻿10.1024/0036-7281.151.3.119","Stannarius",2009,"CHE",46.88,8.93,"2004-10-15","2005-04-15","Pig",NA,"Faecal","DD","E. coli",NA,328,100,860,"TMP","J01EA01",19.3,NA,"CLSI 2002, 2004",NA,"Geom midpoint used; Faecal samples are pooled; prevalence is assumed at 100%","Sulfonamides, Trimethoprim and Combinations","Highly important"
"﻿10.4315/0362-028X.JFP-10-372","Geser",2011,"CHE",47.47,8.65,"2009-10-01","2009-10-31","Pig",NA,"Faecal","DD","E. coli","ESBL",75,12,9,"FOX","J01DC01",0,NA,"CLSI 2007",NA,"Geographic information came from author","Cephamycin","Highly important"
"﻿10.4315/0362-028X.JFP-10-372","Geser",2011,"CHE",47.47,8.65,"2009-10-01","2009-10-31","Pig",NA,"Faecal","DD","E. coli","ESBL",75,12,9,"AMP","J01CA01",100,NA,"CLSI 2007",NA,"Geographic information came from author","Aminopenicillins","Critically important"
"﻿10.4315/0362-028X.JFP-10-372","Geser",2011,"CHE",47.47,8.65,"2009-10-01","2009-10-31","Cattle",NA,"Faecal","DD","E. coli","ESBL",68,16.2,11,"FOX","J01DC01",0,NA,"CLSI 2007",NA,"Geographic information came from author","Cephamycin","Highly important"
"﻿10.4315/0362-028X.JFP-10-372","Geser",2011,"CHE",47.47,8.65,"2009-10-01","2009-10-31","Cattle",NA,"Faecal","DD","E. coli","ESBL",68,16.2,11,"CAZ","J01DD02",9.1,NA,"CLSI 2007",NA,"Geographic information came from author","3rd Generation Cephalosporin","Critically important"
"﻿10.4315/0362-028X.JFP-10-372","Geser",2011,"CHE",47.47,8.65,"2009-10-01","2009-10-31","Cattle",NA,"Faecal","DD","E. coli","ESBL",68,16.2,11,"AMP","J01CA01",100,NA,"CLSI 2007",NA,"Geographic information came from author","Aminopenicillins","Critically important"
