"DOI","Author","PubDate","ISO3","YCoord","XCoord","StartDate","EndDate","Species","SampleType","SampleOrigin","Method","Pathogens","Strain","Nsamples","Prev","NIsolates","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark","Class","WHO_MedImp"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"STR","J01GA01",0,NA,"CLSI M100-S22 2012",NA,NA,"Aminoglycosides","Critically important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"SXT","J01EE01",0,NA,"CLSI M100-S22 2012",NA,NA,"Sulfonamides, Trimethoprim and Combinations","Highly important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"TET","J01AA07",0,NA,"CLSI M100-S22 2012",NA,NA,"Tetracyclines","Highly important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"PEN","J01CE01",0,NA,"CLSI M100-S22 2012",NA,NA,"Penicillins (Narrow Spectrum)","Highly important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"RIF","J04AB02",0,NA,"CLSI M100-S22 2012",NA,NA,"Ansamycins","Critically important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"CLI","J01FF01",50,NA,"CLSI M100-S22 2012",NA,NA,"Lincosamides","Highly important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"GEN","J01GB03",0,NA,"CLSI M100-S22 2012",NA,NA,"Aminoglycosides","Critically important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"ERY","J01FA01",0,NA,"CLSI M100-S22 2012",NA,NA,"Macrolides","Critically important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"NOR","J01MA06",0,NA,"CLSI M100-S22 2012",NA,NA,"Quinolones","Critically important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"OXA","J01CF04",100,NA,"CLSI M100-S22 2012",NA,NA,"Penicillins (Anti-Staphylococcal)","Highly important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"VAN","J01XA01",0,NA,"CLSI M100-S22 2012",NA,NA,"Glycopeptides","Critically important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"CIP","J01MA02",0,NA,"CLSI M100-S22 2012",NA,NA,"Quinolones","Critically important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"FOX","J01DC01",100,NA,"CLSI M100-S22 2012",NA,NA,"Cephamycin","Highly important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"AMP","J01CA01",100,NA,"CLSI M100-S22 2012",NA,NA,"Aminopenicillins","Critically important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"CHL","J01BA01",0,NA,"CLSI M100-S22 2012",NA,NA,"Amphenicols","Highly important"
"10.1007/s11250-018-1699-z","Steward-Johnson",2018,"TTO",10.52342446,-61.21733667,"2015-09-01","2015-11-30","Chicken","LivingAnimal",NA,"DD_PCR","S. aureus","MRSA",287,1,2,"ENR","QJ01MA90",0,NA,"CLSI M100-S22 2012",NA,NA,"Quinolones","Critically important"
