"DOI","Author","PubDate","ISO3","YCoord","XCoord","PlaceName","LocationType","StartDate","EndDate","Species","HistoryAMU","SampleOrigin","HealthStatus","Method","Pathogen","Strain","Nsamples","Prev","NIsolates","Drug","Compound","ATC.Code","Rescom","Concg","Guidelines","Breakpoint","Remark"
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"PEN","AMP","J01CA01",96,"","CLSI 2004",NA,""
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"AMP","CHL","J01BA01",9,"","CLSI 2004",NA,""
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"AMP","FFC","QJ01BA90",0,"","CLSI 2004",NA,""
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"AMI","KAN","J01GB04",9,"","CLSI 2004",NA,""
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"SUL","SMN","QJ01EQ18",51,"","CLSI 2004",NA,""
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"AMI","STR","J01GA01",42,"","CLSI 2004",NA,""
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"TET","TET","J01AA07",58,"","CLSI 2004",NA,""
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"SUL","TMP","J01EA01",44,"","CLSI 2004",NA,""
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"QUI","NAL","J01MB02",87,"","EUCAST 2019","0.5","breakpoint for CIP in Aeromonas spp."
"10.3147/jsfp.47.56","Tipmongkolsilp N","2012","THA",14.1845602,100.3947068,"Chachoengsao, Nakhonsawan, Petchaburi,Pratumtanee, Suphanburi ","Inland freshwater","15.08.07","15.01.09","Tilapia","Yes","Killed","Diseased","AD","Aeromonas","hydrophila",NA,NA,55,"QUI","OXO","J01MB05",80,"","EUCAST 2019","0.5","breakpoint for CIP in Aeromonas spp."
