"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Department","Microorganism","Isolated","Percent"
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Acinetobacter spp.",182,4
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Acinetobacter spp.",182,3
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Acinetobacter spp.",182,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Acinetobacter spp.",182,62
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Acinetobacter spp.",182,7
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Acinetobacter spp.",182,2
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Acinetobacter spp.",182,1
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Acinetobacter spp.",182,10
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Acinetobacter spp.",182,8
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Acinetobacter spp.",182,1
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Escherichia coli",176,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Escherichia coli",176,9
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Escherichia coli",176,1
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Escherichia coli",176,8
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Escherichia coli",176,26
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Escherichia coli",176,6
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Escherichia coli",176,3
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Escherichia coli",176,9
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Escherichia coli",176,2
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Escherichia coli",176,12
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Enterococcus faecalis",56,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Enterococcus faecalis",56,2
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Enterococcus faecalis",56,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Enterococcus faecalis",56,18
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Enterococcus faecalis",56,25
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Enterococcus faecalis",56,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Enterococcus faecalis",56,4
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Enterococcus faecalis",56,38
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Enterococcus faecalis",56,4
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Enterococcus faecalis",56,2
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Enterococcus faecium",17,NA
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Klebsiella pneumoniae",177,1
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Klebsiella pneumoniae",177,7
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Klebsiella pneumoniae",177,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Klebsiella pneumoniae",177,23
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Klebsiella pneumoniae",177,14
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Klebsiella pneumoniae",177,1
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Klebsiella pneumoniae",177,3
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Klebsiella pneumoniae",177,37
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Klebsiella pneumoniae",177,7
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Klebsiella pneumoniae",177,2
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Pseudomonas aeruginosa",71,3
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Pseudomonas aeruginosa",71,3
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Pseudomonas aeruginosa",71,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Pseudomonas aeruginosa",71,42
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Pseudomonas aeruginosa",71,28
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Pseudomonas aeruginosa",71,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Pseudomonas aeruginosa",71,1
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Pseudomonas aeruginosa",71,6
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Pseudomonas aeruginosa",71,11
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Pseudomonas aeruginosa",71,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Staphylococcus aureus",160,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Staphylococcus aureus",160,9
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Staphylococcus aureus",160,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Staphylococcus aureus",160,27
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Staphylococcus aureus",160,27
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Staphylococcus aureus",160,1
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Staphylococcus aureus",160,6
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Staphylococcus aureus",160,8
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Staphylococcus aureus",160,6
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Staphylococcus aureus",160,1
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Streptococcus pneumoniae",22,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Streptococcus pneumoniae",22,18
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Streptococcus pneumoniae",22,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Streptococcus pneumoniae",22,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Streptococcus pneumoniae",22,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Streptococcus pneumoniae",22,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Streptococcus pneumoniae",22,18
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Streptococcus pneumoniae",22,14
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Streptococcus pneumoniae",22,0
2015,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Streptococcus pneumoniae",22,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Acinetobacter spp.",157,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Acinetobacter spp.",157,11
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Acinetobacter spp.",157,3
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Acinetobacter spp.",157,66
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Acinetobacter spp.",157,3
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Acinetobacter spp.",157,1
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Acinetobacter spp.",157,1
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Acinetobacter spp.",157,8
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Acinetobacter spp.",157,6
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Acinetobacter spp.",157,1
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Escherichia coli",219,14
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Escherichia coli",219,12
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Escherichia coli",219,21
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Escherichia coli",219,12
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Escherichia coli",219,18
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Escherichia coli",219,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Escherichia coli",219,1
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Escherichia coli",219,11
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Escherichia coli",219,3
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Escherichia coli",219,6
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Enterococcus faecalis",58,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Enterococcus faecalis",58,10
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Enterococcus faecalis",58,7
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Enterococcus faecalis",58,19
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Enterococcus faecalis",58,22
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Enterococcus faecalis",58,10
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Enterococcus faecalis",58,7
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Enterococcus faecalis",58,12
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Enterococcus faecalis",58,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Enterococcus faecalis",58,12
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Enterococcus faecium",37,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Enterococcus faecium",37,11
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Enterococcus faecium",37,3
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Enterococcus faecium",37,51
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Enterococcus faecium",37,8
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Enterococcus faecium",37,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Enterococcus faecium",37,11
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Enterococcus faecium",37,11
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Enterococcus faecium",37,5
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Enterococcus faecium",37,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Klebsiella pneumoniae",154,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Klebsiella pneumoniae",154,6
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Klebsiella pneumoniae",154,5
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Klebsiella pneumoniae",154,20
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Klebsiella pneumoniae",154,13
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Klebsiella pneumoniae",154,1
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Klebsiella pneumoniae",154,6
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Klebsiella pneumoniae",154,34
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Klebsiella pneumoniae",154,6
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Klebsiella pneumoniae",154,9
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Pseudomonas aeruginosa",61,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Pseudomonas aeruginosa",61,10
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Pseudomonas aeruginosa",61,5
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Pseudomonas aeruginosa",61,31
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Pseudomonas aeruginosa",61,18
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Pseudomonas aeruginosa",61,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Pseudomonas aeruginosa",61,3
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Pseudomonas aeruginosa",61,25
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Pseudomonas aeruginosa",61,7
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Pseudomonas aeruginosa",61,2
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Staphylococcus aureus",180,3
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Staphylococcus aureus",180,5
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Staphylococcus aureus",180,11
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Staphylococcus aureus",180,21
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Staphylococcus aureus",180,29
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Staphylococcus aureus",180,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Staphylococcus aureus",180,8
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Staphylococcus aureus",180,11
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Staphylococcus aureus",180,9
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Staphylococcus aureus",180,2
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Streptococcus pneumoniae",22,9
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Streptococcus pneumoniae",22,14
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Streptococcus pneumoniae",22,36
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Streptococcus pneumoniae",22,14
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Streptococcus pneumoniae",22,5
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Streptococcus pneumoniae",22,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Streptococcus pneumoniae",22,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Streptococcus pneumoniae",22,23
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Streptococcus pneumoniae",22,0
2016,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Streptococcus pneumoniae",22,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Acinetobacter spp.",124,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Acinetobacter spp.",124,5
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Acinetobacter spp.",124,4
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Acinetobacter spp.",124,48
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Acinetobacter spp.",124,3
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Acinetobacter spp.",124,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Acinetobacter spp.",124,2
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Acinetobacter spp.",124,25
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Acinetobacter spp.",124,12
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Acinetobacter spp.",124,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Escherichia coli",195,9
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Escherichia coli",195,10
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Escherichia coli",195,27
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Escherichia coli",195,5
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Escherichia coli",195,21
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Escherichia coli",195,1
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Escherichia coli",195,8
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Escherichia coli",195,13
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Escherichia coli",195,3
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Escherichia coli",195,3
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Enterococcus faecalis",71,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Enterococcus faecalis",71,4
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Enterococcus faecalis",71,17
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Enterococcus faecalis",71,21
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Enterococcus faecalis",71,15
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Enterococcus faecalis",71,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Enterococcus faecalis",71,20
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Enterococcus faecalis",71,21
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Enterococcus faecalis",71,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Enterococcus faecalis",71,1
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Enterococcus faecium",41,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Haematology or oncology","Enterococcus faecium",41,15
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Infectious disease ward","Enterococcus faecium",41,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Intensive care unit","Enterococcus faecium",41,49
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Internal medicine","Enterococcus faecium",41,10
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Obstetrics or gynaecology","Enterococcus faecium",41,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Other","Enterococcus faecium",41,2
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Paediatrics or neonatal","Enterococcus faecium",41,15
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Surgery","Enterococcus faecium",41,0
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Urology","Enterococcus faecium",41,10
2017,"Bosnia and Herzegovina","BIH",70,43.8895425,15.0358947,"Emergency department","Klebsiella pneumoniae",152,0
