"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Department","Microorganism","Isolated","Percent"
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Infectious disease ward","Acinetobacter spp.",49,2
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Intensive care unit","Acinetobacter spp.",49,8
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Other","Acinetobacter spp.",49,0
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Paediatrics or neonatal","Acinetobacter spp.",49,90
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Infectious disease ward","Escherichia coli",23,17
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Intensive care unit","Escherichia coli",23,4
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Other","Escherichia coli",23,52
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Paediatrics or neonatal","Escherichia coli",23,26
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Infectious disease ward","Enterococcus faecalis",12,NA
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Intensive care unit","Enterococcus faecalis",12,NA
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Other","Enterococcus faecalis",12,NA
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Paediatrics or neonatal","Enterococcus faecalis",12,NA
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Infectious disease ward","Enterococcus faecium",4,NA
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Intensive care unit","Enterococcus faecium",4,NA
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Other","Enterococcus faecium",4,NA
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Paediatrics or neonatal","Enterococcus faecium",4,NA
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Infectious disease ward","Klebsiella pneumoniae",34,0
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Intensive care unit","Klebsiella pneumoniae",34,0
2014,"Kosovo","KOS",NA,42.5571195,19.5827363,"Other","Klebsiella pneumoniae",34,0
