"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Age_group","Microorganism","Isolated","Percent"
2018,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Acinetobacter spp.",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Acinetobacter spp.",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"5_19","Acinetobacter spp.",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,">= 65","Acinetobacter spp.",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Escherichia coli",1,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Escherichia coli",1,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"5_19","Escherichia coli",1,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,">= 65","Escherichia coli",1,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Enterococcus faecalis",3,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Enterococcus faecalis",3,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"5_19","Enterococcus faecalis",3,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,">= 65","Enterococcus faecalis",3,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Enterococcus faecium",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Enterococcus faecium",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"5_19","Enterococcus faecium",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,">= 65","Enterococcus faecium",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Klebsiella pneumoniae",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Klebsiella pneumoniae",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"5_19","Klebsiella pneumoniae",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,">= 65","Klebsiella pneumoniae",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Pseudomonas aeruginosa",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Pseudomonas aeruginosa",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"5_19","Pseudomonas aeruginosa",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,">= 65","Pseudomonas aeruginosa",0,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Staphylococcus aureus",2,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Staphylococcus aureus",2,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"5_19","Staphylococcus aureus",2,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,">= 65","Staphylococcus aureus",2,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Streptococcus pneumoniae",3,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Streptococcus pneumoniae",3,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,"5_19","Streptococcus pneumoniae",3,NA
2018,"Moldova","MDA",498,46.9531391,25.7500291,">= 65","Streptococcus pneumoniae",3,NA
2019,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Acinetobacter spp.",7,NA
2019,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Acinetobacter spp.",7,NA
2019,"Moldova","MDA",498,46.9531391,25.7500291,"5_19","Acinetobacter spp.",7,NA
2019,"Moldova","MDA",498,46.9531391,25.7500291,">= 65","Acinetobacter spp.",7,NA
2019,"Moldova","MDA",498,46.9531391,25.7500291,"0_4","Escherichia coli",15,NA
2019,"Moldova","MDA",498,46.9531391,25.7500291,"20_64","Escherichia coli",15,NA
