"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Age_group","Microorganism","Isolated","Percent"
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Acinetobacter spp.",17,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Acinetobacter spp.",17,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Acinetobacter spp.",17,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Acinetobacter spp.",17,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Escherichia coli",50,12
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Escherichia coli",50,50
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Escherichia coli",50,4
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Escherichia coli",50,16
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecalis",18,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecalis",18,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecalis",18,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecalis",18,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecium",4,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecium",4,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecium",4,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecium",4,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Klebsiella pneumoniae",36,64
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Klebsiella pneumoniae",36,28
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Klebsiella pneumoniae",36,0
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Klebsiella pneumoniae",36,6
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Pseudomonas aeruginosa",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Pseudomonas aeruginosa",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Pseudomonas aeruginosa",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Pseudomonas aeruginosa",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Staphylococcus aureus",57,12
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Staphylococcus aureus",57,42
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Staphylococcus aureus",57,2
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Staphylococcus aureus",57,30
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Streptococcus pneumoniae",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Streptococcus pneumoniae",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Streptococcus pneumoniae",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Streptococcus pneumoniae",5,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Acinetobacter spp.",26,23
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Acinetobacter spp.",26,35
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Acinetobacter spp.",26,4
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Acinetobacter spp.",26,19
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Escherichia coli",56,16
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Escherichia coli",56,36
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Escherichia coli",56,5
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Escherichia coli",56,34
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecalis",19,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecalis",19,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecalis",19,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecalis",19,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecium",23,0
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecium",23,70
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecium",23,9
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecium",23,9
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Klebsiella pneumoniae",38,63
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Klebsiella pneumoniae",38,18
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Klebsiella pneumoniae",38,5
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Klebsiella pneumoniae",38,13
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Pseudomonas aeruginosa",8,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Pseudomonas aeruginosa",8,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Pseudomonas aeruginosa",8,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Pseudomonas aeruginosa",8,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Staphylococcus aureus",44,18
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Staphylococcus aureus",44,36
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Staphylococcus aureus",44,5
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Staphylococcus aureus",44,34
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Streptococcus pneumoniae",6,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Streptococcus pneumoniae",6,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Streptococcus pneumoniae",6,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Streptococcus pneumoniae",6,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Acinetobacter spp.",31,35
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Acinetobacter spp.",31,42
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Acinetobacter spp.",31,0
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Acinetobacter spp.",31,19
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Escherichia coli",56,5
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Escherichia coli",56,34
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Escherichia coli",56,4
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Escherichia coli",56,43
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecalis",23,0
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecalis",23,35
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecalis",23,0
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecalis",23,57
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Klebsiella pneumoniae",24,58
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Klebsiella pneumoniae",24,8
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Klebsiella pneumoniae",24,4
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Klebsiella pneumoniae",24,25
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Staphylococcus aureus",56,29
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Staphylococcus aureus",56,43
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Staphylococcus aureus",56,5
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Staphylococcus aureus",56,16
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Streptococcus pneumoniae",5,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Streptococcus pneumoniae",5,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Streptococcus pneumoniae",5,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,">= 65","Streptococcus pneumoniae",5,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"0_4","Acinetobacter spp.",36,17
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"20_64","Acinetobacter spp.",36,47
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"5_19","Acinetobacter spp.",36,8
