"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Sex","Microorganism","Isolated","Percent"
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Acinetobacter spp.",17,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Acinetobacter spp.",17,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Escherichia coli",50,42
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Escherichia coli",50,52
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Enterococcus faecalis",18,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Enterococcus faecalis",18,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Enterococcus faecium",4,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Enterococcus faecium",4,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Klebsiella pneumoniae",36,17
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Klebsiella pneumoniae",36,44
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Pseudomonas aeruginosa",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Pseudomonas aeruginosa",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Staphylococcus aureus",57,35
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Staphylococcus aureus",57,60
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Streptococcus pneumoniae",5,NA
2013,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Streptococcus pneumoniae",5,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Acinetobacter spp.",26,46
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Acinetobacter spp.",26,46
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Escherichia coli",56,45
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Escherichia coli",56,46
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Enterococcus faecalis",19,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Enterococcus faecalis",19,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Enterococcus faecium",23,26
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Enterococcus faecium",23,74
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Klebsiella pneumoniae",38,16
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Klebsiella pneumoniae",38,47
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Pseudomonas aeruginosa",8,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Pseudomonas aeruginosa",8,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Staphylococcus aureus",44,39
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Staphylococcus aureus",44,55
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Streptococcus pneumoniae",6,NA
2014,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Streptococcus pneumoniae",6,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Acinetobacter spp.",31,39
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Acinetobacter spp.",31,55
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Escherichia coli",56,41
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Escherichia coli",56,57
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Enterococcus faecalis",23,26
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Enterococcus faecalis",23,74
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Enterococcus faecium",10,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Klebsiella pneumoniae",24,33
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Klebsiella pneumoniae",24,33
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Pseudomonas aeruginosa",12,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Staphylococcus aureus",56,36
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Staphylococcus aureus",56,61
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Streptococcus pneumoniae",5,NA
2015,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Streptococcus pneumoniae",5,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Acinetobacter spp.",36,36
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Acinetobacter spp.",36,61
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Escherichia coli",64,45
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Escherichia coli",64,53
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Enterococcus faecalis",28,46
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Enterococcus faecalis",28,54
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Enterococcus faecium",19,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Enterococcus faecium",19,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Klebsiella pneumoniae",24,58
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Klebsiella pneumoniae",24,38
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Pseudomonas aeruginosa",17,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Pseudomonas aeruginosa",17,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Staphylococcus aureus",69,46
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Staphylococcus aureus",69,49
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Streptococcus pneumoniae",12,NA
2016,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Streptococcus pneumoniae",12,NA
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Acinetobacter spp.",29,17
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Acinetobacter spp.",29,83
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Escherichia coli",76,51
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Escherichia coli",76,47
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"Female","Enterococcus faecalis",21,29
2017,"North Macedonia","MKD",807,41.0939915,19.5953742,"Male","Enterococcus faecalis",21,71
