"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Sex","Microorganism","Isolated","Percent"
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Acinetobacter spp.",392,37
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Acinetobacter spp.",392,61
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Escherichia coli",199,54
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Escherichia coli",199,45
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Enterococcus faecalis",82,28
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Enterococcus faecalis",82,66
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Enterococcus faecium",72,21
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Enterococcus faecium",72,78
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Klebsiella pneumoniae",307,34
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Klebsiella pneumoniae",307,60
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Pseudomonas aeruginosa",109,40
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Pseudomonas aeruginosa",109,57
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Staphylococcus aureus",278,38
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Staphylococcus aureus",278,58
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Streptococcus pneumoniae",42,48
2013,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Streptococcus pneumoniae",42,50
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Acinetobacter spp.",343,38
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Acinetobacter spp.",343,61
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Escherichia coli",245,49
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Escherichia coli",245,50
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Enterococcus faecalis",98,29
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Enterococcus faecalis",98,67
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Enterococcus faecium",61,41
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Enterococcus faecium",61,57
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Klebsiella pneumoniae",325,32
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Klebsiella pneumoniae",325,65
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Pseudomonas aeruginosa",95,32
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Pseudomonas aeruginosa",95,65
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Staphylococcus aureus",350,32
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Staphylococcus aureus",350,65
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Streptococcus pneumoniae",33,45
2014,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Streptococcus pneumoniae",33,52
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Acinetobacter spp.",457,41
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Acinetobacter spp.",457,58
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Escherichia coli",272,55
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Escherichia coli",272,43
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Enterococcus faecalis",138,36
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Enterococcus faecalis",138,64
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Enterococcus faecium",86,41
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Enterococcus faecium",86,59
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Klebsiella pneumoniae",365,28
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Klebsiella pneumoniae",365,65
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Pseudomonas aeruginosa",148,29
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Pseudomonas aeruginosa",148,70
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Staphylococcus aureus",366,32
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Staphylococcus aureus",366,67
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Streptococcus pneumoniae",45,38
2015,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Streptococcus pneumoniae",45,62
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Acinetobacter spp.",417,38
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Acinetobacter spp.",417,62
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Escherichia coli",328,46
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Escherichia coli",328,51
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Enterococcus faecalis",181,35
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Enterococcus faecalis",181,63
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Enterococcus faecium",110,36
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Enterococcus faecium",110,61
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Klebsiella pneumoniae",444,32
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Klebsiella pneumoniae",444,63
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Pseudomonas aeruginosa",149,36
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Pseudomonas aeruginosa",149,62
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Staphylococcus aureus",469,38
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Staphylococcus aureus",469,60
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Streptococcus pneumoniae",65,26
2016,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Streptococcus pneumoniae",65,72
2017,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Acinetobacter spp.",429,34
2017,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Acinetobacter spp.",429,66
2017,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Escherichia coli",399,59
2017,"Serbia","SRB",688,44.1050751,15.8991652,"Male","Escherichia coli",399,41
2017,"Serbia","SRB",688,44.1050751,15.8991652,"Female","Enterococcus faecalis",208,34
