"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Age_group","Microorganism","Isolated","Percent"
2012,"Switzerland","CHE",756,46.8074891,6.904963,"0_4","Acinetobacter spp.",53,8
2012,"Switzerland","CHE",756,46.8074891,6.904963,"20_64","Acinetobacter spp.",53,34
2012,"Switzerland","CHE",756,46.8074891,6.904963,"5_19","Acinetobacter spp.",53,8
2012,"Switzerland","CHE",756,46.8074891,6.904963,">= 65","Acinetobacter spp.",53,51
2012,"Switzerland","CHE",756,46.8074891,6.904963,"0_4","Escherichia coli",3640,2
2012,"Switzerland","CHE",756,46.8074891,6.904963,"20_64","Escherichia coli",3640,27
2012,"Switzerland","CHE",756,46.8074891,6.904963,"5_19","Escherichia coli",3640,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,">= 65","Escherichia coli",3640,70
2012,"Switzerland","CHE",756,46.8074891,6.904963,"0_4","Enterococcus faecalis",424,2
2012,"Switzerland","CHE",756,46.8074891,6.904963,"20_64","Enterococcus faecalis",424,29
2012,"Switzerland","CHE",756,46.8074891,6.904963,"5_19","Enterococcus faecalis",424,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,">= 65","Enterococcus faecalis",424,68
2012,"Switzerland","CHE",756,46.8074891,6.904963,"0_4","Enterococcus faecium",311,2
2012,"Switzerland","CHE",756,46.8074891,6.904963,"20_64","Enterococcus faecium",311,39
2012,"Switzerland","CHE",756,46.8074891,6.904963,"5_19","Enterococcus faecium",311,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,">= 65","Enterococcus faecium",311,58
2012,"Switzerland","CHE",756,46.8074891,6.904963,"0_4","Klebsiella pneumoniae",673,2
2012,"Switzerland","CHE",756,46.8074891,6.904963,"20_64","Klebsiella pneumoniae",673,33
2012,"Switzerland","CHE",756,46.8074891,6.904963,"5_19","Klebsiella pneumoniae",673,2
2012,"Switzerland","CHE",756,46.8074891,6.904963,">= 65","Klebsiella pneumoniae",673,64
2012,"Switzerland","CHE",756,46.8074891,6.904963,"0_4","Pseudomonas aeruginosa",388,3
2012,"Switzerland","CHE",756,46.8074891,6.904963,"20_64","Pseudomonas aeruginosa",388,30
2012,"Switzerland","CHE",756,46.8074891,6.904963,"5_19","Pseudomonas aeruginosa",388,2
2012,"Switzerland","CHE",756,46.8074891,6.904963,">= 65","Pseudomonas aeruginosa",388,65
2012,"Switzerland","CHE",756,46.8074891,6.904963,"0_4","Staphylococcus aureus",1359,4
2012,"Switzerland","CHE",756,46.8074891,6.904963,"20_64","Staphylococcus aureus",1359,38
2012,"Switzerland","CHE",756,46.8074891,6.904963,"5_19","Staphylococcus aureus",1359,4
2012,"Switzerland","CHE",756,46.8074891,6.904963,">= 65","Staphylococcus aureus",1359,54
2012,"Switzerland","CHE",756,46.8074891,6.904963,"0_4","Streptococcus pneumoniae",581,3
