"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Department","Microorganism","Isolated","Percent"
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Emergency department","Acinetobacter spp.",53,13
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Haematology or oncology","Acinetobacter spp.",53,0
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Intensive care unit","Acinetobacter spp.",53,17
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Internal medicine","Acinetobacter spp.",53,13
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Obstetrics or gynaecology","Acinetobacter spp.",53,2
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Other","Acinetobacter spp.",53,32
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal","Acinetobacter spp.",53,4
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal intensive care unit","Acinetobacter spp.",53,4
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Surgery","Acinetobacter spp.",53,15
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Urology","Acinetobacter spp.",53,0
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Emergency department","Escherichia coli",3640,36
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Haematology or oncology","Escherichia coli",3640,2
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Intensive care unit","Escherichia coli",3640,5
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Internal medicine","Escherichia coli",3640,13
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Obstetrics or gynaecology","Escherichia coli",3640,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Other","Escherichia coli",3640,37
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal","Escherichia coli",3640,0
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal intensive care unit","Escherichia coli",3640,0
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Surgery","Escherichia coli",3640,5
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Urology","Escherichia coli",3640,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Emergency department","Enterococcus faecalis",424,19
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Haematology or oncology","Enterococcus faecalis",424,3
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Intensive care unit","Enterococcus faecalis",424,8
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Internal medicine","Enterococcus faecalis",424,23
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Obstetrics or gynaecology","Enterococcus faecalis",424,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Other","Enterococcus faecalis",424,33
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal","Enterococcus faecalis",424,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal intensive care unit","Enterococcus faecalis",424,0
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Surgery","Enterococcus faecalis",424,11
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Urology","Enterococcus faecalis",424,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Emergency department","Enterococcus faecium",311,8
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Haematology or oncology","Enterococcus faecium",311,6
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Intensive care unit","Enterococcus faecium",311,16
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Internal medicine","Enterococcus faecium",311,26
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Obstetrics or gynaecology","Enterococcus faecium",311,0
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Other","Enterococcus faecium",311,24
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal","Enterococcus faecium",311,0
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal intensive care unit","Enterococcus faecium",311,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Surgery","Enterococcus faecium",311,18
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Urology","Enterococcus faecium",311,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Emergency department","Klebsiella pneumoniae",673,23
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Haematology or oncology","Klebsiella pneumoniae",673,4
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Intensive care unit","Klebsiella pneumoniae",673,6
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Internal medicine","Klebsiella pneumoniae",673,19
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Obstetrics or gynaecology","Klebsiella pneumoniae",673,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Other","Klebsiella pneumoniae",673,35
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal","Klebsiella pneumoniae",673,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Paediatrics or neonatal intensive care unit","Klebsiella pneumoniae",673,0
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Surgery","Klebsiella pneumoniae",673,8
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Urology","Klebsiella pneumoniae",673,1
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Emergency department","Pseudomonas aeruginosa",388,22
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Haematology or oncology","Pseudomonas aeruginosa",388,4
2012,"Switzerland","CHE",756,46.8074891,6.904963,"Intensive care unit","Pseudomonas aeruginosa",388,11
