"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Age_group","Microorganism","Isolated","Percent"
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"0_4","Acinetobacter spp.",0,NA
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"20_64","Acinetobacter spp.",0,NA
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"5_19","Acinetobacter spp.",0,NA
2012,"Türkiye","TUR",792,38.6226863,24.5239512,">= 65","Acinetobacter spp.",0,NA
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"0_4","Escherichia coli",2696,5
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"20_64","Escherichia coli",2696,42
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"5_19","Escherichia coli",2696,4
2012,"Türkiye","TUR",792,38.6226863,24.5239512,">= 65","Escherichia coli",2696,42
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"0_4","Enterococcus faecalis",791,6
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"20_64","Enterococcus faecalis",791,34
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"5_19","Enterococcus faecalis",791,2
2012,"Türkiye","TUR",792,38.6226863,24.5239512,">= 65","Enterococcus faecalis",791,51
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"0_4","Enterococcus faecium",1078,13
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"20_64","Enterococcus faecium",1078,35
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"5_19","Enterococcus faecium",1078,3
2012,"Türkiye","TUR",792,38.6226863,24.5239512,">= 65","Enterococcus faecium",1078,43
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"0_4","Klebsiella pneumoniae",1433,17
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"20_64","Klebsiella pneumoniae",1433,40
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"5_19","Klebsiella pneumoniae",1433,5
2012,"Türkiye","TUR",792,38.6226863,24.5239512,">= 65","Klebsiella pneumoniae",1433,33
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"0_4","Pseudomonas aeruginosa",1132,7
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"20_64","Pseudomonas aeruginosa",1132,41
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"5_19","Pseudomonas aeruginosa",1132,6
2012,"Türkiye","TUR",792,38.6226863,24.5239512,">= 65","Pseudomonas aeruginosa",1132,40
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"0_4","Staphylococcus aureus",2064,9
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"20_64","Staphylococcus aureus",2064,44
2012,"Türkiye","TUR",792,38.6226863,24.5239512,"5_19","Staphylococcus aureus",2064,4
2012,"Türkiye","TUR",792,38.6226863,24.5239512,">= 65","Staphylococcus aureus",2064,40
