"Year","Region_name","Region_code_iso3","Region_code_numeric3","Lat","Lon","Sex","Microorganism","Isolated","Percent"
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Acinetobacter spp.",530,51
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Acinetobacter spp.",530,49
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Escherichia coli",19630,53
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Escherichia coli",19630,47
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecalis",1603,36
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecalis",1603,64
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecium",1539,43
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecium",1539,57
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Klebsiella pneumoniae",3530,40
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Klebsiella pneumoniae",3530,60
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Pseudomonas aeruginosa",1923,36
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Pseudomonas aeruginosa",1923,64
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Staphylococcus aureus",6299,36
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Staphylococcus aureus",6299,64
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Streptococcus pneumoniae",2927,51
2016,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Streptococcus pneumoniae",2927,49
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Acinetobacter spp.",740,51
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Acinetobacter spp.",740,49
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Escherichia coli",28637,52
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Escherichia coli",28637,48
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecalis",2529,34
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecalis",2529,66
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecium",2112,39
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecium",2112,61
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Klebsiella pneumoniae",5040,40
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Klebsiella pneumoniae",5040,60
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Pseudomonas aeruginosa",2673,37
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Pseudomonas aeruginosa",2673,63
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Staphylococcus aureus",9004,37
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Staphylococcus aureus",9004,63
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Streptococcus pneumoniae",3888,50
2017,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Streptococcus pneumoniae",3888,50
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Acinetobacter spp.",682,49
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Acinetobacter spp.",682,51
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Escherichia coli",29558,52
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Escherichia coli",29558,48
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecalis",2608,33
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecalis",2608,67
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecium",2488,41
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecium",2488,59
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Klebsiella pneumoniae",5302,40
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Klebsiella pneumoniae",5302,60
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Pseudomonas aeruginosa",2575,37
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Pseudomonas aeruginosa",2575,63
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Staphylococcus aureus",8562,37
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Staphylococcus aureus",8562,63
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Streptococcus pneumoniae",4066,49
2018,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Streptococcus pneumoniae",4066,51
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Acinetobacter spp.",743,48
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Acinetobacter spp.",743,49
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Escherichia coli",30225,49
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Escherichia coli",30225,46
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecalis",2681,32
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecalis",2681,64
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecium",2473,37
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecium",2473,57
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Klebsiella pneumoniae",5428,37
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Klebsiella pneumoniae",5428,59
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Pseudomonas aeruginosa",2764,35
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Pseudomonas aeruginosa",2764,62
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Staphylococcus aureus",9462,35
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Staphylococcus aureus",9462,61
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Streptococcus pneumoniae",4009,49
2019,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Streptococcus pneumoniae",4009,48
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Acinetobacter spp.",593,45
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Acinetobacter spp.",593,55
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Escherichia coli",25046,50
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Escherichia coli",25046,50
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecalis",2501,34
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecalis",2501,66
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Enterococcus faecium",2455,40
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Enterococcus faecium",2455,60
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Klebsiella pneumoniae",4760,39
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Klebsiella pneumoniae",4760,61
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Pseudomonas aeruginosa",2382,35
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Pseudomonas aeruginosa",2382,65
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Staphylococcus aureus",8372,37
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Male","Staphylococcus aureus",8372,63
2020,"United Kingdom","GBR",826,54.1022212,-15.0148868,"Female","Streptococcus pneumoniae",1610,48
