"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Penicilline","Ampicillina",4215,"64.5","63.1","66.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Penicilline","Amoxicillina-Acido Clavulanico",17902,"42.9","42.1","43.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Penicilline","Piperacillina-Tazobactam",18718,"9.0","8.6","9.4"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Cefalosporine III generazione","Cefotaxime",14996,"26.2","25.5","26.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Cefalosporine III generazione","Ceftazidime",18561,"22.3","21.7","22.9"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Cefalosporine III generazione","Ceftriaxone",1827,"28.6","26.6","30.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Cefalosporine III generazione","Ceftazidime-Avibactam",3895,"0.8","9.6","1.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Carbapenemi","Imipenem",8765,"0.4","0.3","0.6"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Carbapenemi","Meropenem",17855,"0.4","0.3","0.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Carbapenemi","Ertapenem",13781,"1.0","0.8","1.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Aminoglicosidi","Amikacina",18092,"1.5","1.4","1.7"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Aminoglicosidi","Gentamicina",18005,"14.9","14.4","15.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Fluorochinoloni","Ciprofloxacina",18810,"37.5","36.9","38.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Fluorochinoloni","Levofloxacina",3565,"34.9","33.3","36.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2020.pdf","Glicilcicline","Tigeciclina",10962,"4.3","3.9","4.7"
