"Bulletin","Class_of_antibiotics","Antibiotic","Isolated","Resistance","95_IC_low","95_IC_upper"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Penicilline","Piperacillina-Tazobactam",5893,"24.1","23.0","25.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Ceftazidime",5903,"19.0","18.0","20.0"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Cefepime",5775,"17.5","16.5","18.5"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Ceftazidime/Avibactam",3726,"6.0","5.2","6.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Cefalosporine III/IV generazione","Ceftolozano/Tazobactam",3322,"5.5","4.7","6.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Carbapenemi","Imipenem",5019,"17.7","16.6","18.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Carbapenemi","Meropenem",5816,"9.5","8.7","10.3"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Aminoglicosidi","Amikacina",5855,"2.7","2.3","3.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Aminoglicosidi","Gentamicina",818,"12.6","10.4","15.1"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Aminoglicosidi","Tobramicina",3248,"6.9","6.0","7.8"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Fluorochinoloni","Ciprofloxacina",5943,"16.2","15.3","17.2"
"https://github.com/fbranda/amr/blob/main/bulletins/Italy/AR-ISS/AMR_AR_ISS_2022.pdf","Fluorochinoloni","Levofloxacina",1874,"21.1","19.3","23.1"
